sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
7, 825207, 182332, 173355, 160531, 169035, 69977, 69977, 237699539
3, 821213, 181312, 170299, 156674, 167462, 72733, 72733, 2877086229
10, 824689, 175315, 179017, 165546, 162129, 71341, 71341, 2234021282
8, 822641, 179499, 172173, 159434, 166065, 72735, 72735, 2413177975
11, 824236, 170423, 178203, 164907, 157533, 76585, 76585, 3768085766
15, 824784, 165467, 188866, 175466, 152199, 71393, 71393, 2035473064
4, 823752, 167485, 183267, 169752, 153860, 74694, 74694, 2124261171
5, 822280, 174021, 178924, 165478, 160277, 71790, 71790, 3963165422
9, 824224, 156805, 199183, 185170, 144106, 69480, 69480, 2969591638
6, 822063, 169148, 185458, 172120, 155951, 69693, 69693, 1842136387
1, 824826, 170199, 182451, 169140, 156972, 73032, 73032, 1852071338
2, 825164, 175695, 180020, 166609, 162512, 70164, 70164, 1654267705
13, 822619, 167651, 183596, 170293, 154681, 73199, 73199, 3257872498
0, 823008, 199872, 150439, 137540, 186403, 74377, 74377, 1646091617
14, 823156, 173289, 176745, 163335, 160053, 74867, 74867, 20099954
12, 825000, 188495, 165065, 152359, 175133, 71974, 71974, 3806835801
16, 827644, 161764, 191952, 178528, 148810, 73295, 73295, 3431154541
19, 822869, 171696, 180845, 167242, 158852, 72117, 72117, 2315244214
22, 821146, 168573, 183309, 170142, 155236, 71943, 71943, 2587273317
21, 828099, 183553, 174232, 161104, 170560, 69325, 69325, 1995399485
18, 825350, 182942, 171401, 158430, 169657, 71460, 71460, 3182776277
23, 825286, 185123, 165253, 152135, 171517, 75629, 75629, 2298944658
17, 826209, 188216, 164491, 150929, 175079, 73747, 73747, 4119857584
20, 823078, 180722, 174058, 161048, 167480, 69885, 69885, 3299322733
24, 825663, 178505, 176327, 163180, 165321, 71165, 71165, 1590816772
28, 821955, 172360, 178406, 165306, 159127, 73378, 73378, 905726583
26, 820387, 181578, 170996, 157693, 167972, 71074, 71074, 2562874243
29, 824405, 182607, 173375, 160110, 169637, 69338, 69338, 3576100175
27, 823273, 183725, 166103, 152793, 170326, 75163, 75163, 3360103662
25, 825018, 166831, 183963, 170489, 154195, 74770, 74770, 1240681148
30, 822206, 172932, 175803, 162246, 159643, 75791, 75791, 356484190
31, 825212, 172357, 180933, 167891, 158987, 72522, 72522, 1126462684
33, 823449, 175564, 180878, 167620, 161947, 68720, 68720, 2644367719
32, 826024, 182914, 172935, 159785, 170122, 70134, 70134, 2029217890
35, 823913, 195638, 159728, 146772, 181735, 70020, 70020, 2431291561
34, 824417, 182756, 170819, 157389, 169315, 72069, 72069, 36954002
38, 820530, 154719, 195317, 181478, 141738, 73639, 73639, 3249231787
37, 827430, 174487, 183167, 169652, 161838, 69143, 69143, 361602086
36, 823247, 189993, 161081, 148041, 176760, 73686, 73686, 3925798342
42, 825348, 174924, 179787, 166673, 162260, 70852, 70852, 3595034757
39, 823326, 175503, 175360, 162262, 162025, 74088, 74088, 1328971977
40, 825272, 171838, 180949, 167768, 158749, 72984, 72984, 2279641702
44, 822812, 168009, 184797, 171389, 154899, 71859, 71859, 574537595
43, 822149, 173868, 178450, 165082, 160933, 71908, 71908, 313014441
41, 826548, 181585, 168439, 155090, 168586, 76424, 76424, 4089970991
46, 824897, 177218, 178301, 165098, 163582, 70349, 70349, 3962365945
45, 824341, 197564, 153306, 140758, 184405, 74154, 74154, 2555678325
47, 822786, 163790, 188686, 175524, 150614, 72086, 72086, 2033993670
49, 826491, 160705, 191559, 178173, 148074, 73990, 73990, 2963460615
48, 824606, 182168, 172219, 159550, 168511, 71079, 71079, 103591412
51, 822555, 178185, 174156, 160708, 165192, 72157, 72157, 2649325825
50, 824309, 172637, 181182, 167303, 159863, 71662, 71662, 3136291319
52, 822722, 161422, 190913, 177696, 148301, 72195, 72195, 3208924928
54, 825269, 169274, 186854, 173884, 156057, 69600, 69600, 279792217
55, 824043, 166833, 185135, 171683, 153554, 73419, 73419, 2630348038
53, 823264, 172816, 184060, 170201, 159743, 68222, 68222, 357579815
58, 821938, 177424, 174908, 161507, 164229, 71935, 71935, 2007671532
57, 825129, 175219, 180565, 167424, 161725, 70098, 70098, 4178224073
59, 826464, 156971, 198136, 184514, 144325, 71259, 71259, 1612124699
56, 823728, 191265, 165564, 152349, 178434, 68058, 68058, 4043592190
60, 824244, 170781, 183620, 170269, 157760, 70907, 70907, 786405759
61, 820778, 170086, 184721, 171206, 156701, 69032, 69032, 579444140
62, 823710, 180317, 176432, 163075, 166906, 68490, 68490, 3762616608
63, 821348, 187033, 165948, 152877, 173220, 71135, 71135, 154543099
65, 822277, 170146, 178898, 165547, 156788, 75449, 75449, 1595049304
64, 822423, 176873, 179389, 166124, 163559, 68239, 68239, 4112151795
66, 823522, 190213, 166154, 153389, 176518, 68624, 68624, 1212395310
67, 821275, 168195, 186512, 172829, 154741, 69499, 69499, 3119686715
