sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
0, 1861768, 380292, 387894, 373823, 366617, 176571, 176571
1, 1857621, 394343, 382269, 368475, 380082, 166226, 166226
2, 1857428, 372173, 395616, 381380, 358573, 174843, 174843
3, 1855940, 386873, 388727, 374863, 372645, 166416, 166416
4, 1856438, 393445, 375814, 361780, 379223, 173088, 173088
5, 1858900, 395018, 387048, 372966, 381132, 161368, 161368
6, 1857760, 377140, 400674, 386537, 363325, 165042, 165042
7, 1858326, 387488, 385422, 371418, 373266, 170366, 170366
8, 1861913, 403899, 368455, 354944, 390115, 172250, 172250
9, 1858164, 397703, 380143, 366063, 383675, 165290, 165290
10, 1859286, 384781, 389986, 376003, 370580, 168968, 168968
11, 1859899, 404698, 374943, 361163, 390767, 164164, 164164
12, 1858914, 386052, 384554, 370643, 372111, 172777, 172777
13, 1860930, 368785, 405555, 391249, 355011, 170165, 170165
14, 1859541, 387097, 379509, 365648, 373107, 177090, 177090
15, 1858476, 382694, 393211, 379148, 368559, 167432, 167432
16, 1862498, 400434, 376203, 362577, 386772, 168256, 168256
17, 1861229, 393834, 378958, 365192, 379989, 171628, 171628
18, 1861307, 395281, 379461, 365566, 381667, 169666, 169666
19, 1860193, 401190, 373953, 360509, 387093, 168724, 168724
20, 1857780, 390237, 378732, 364862, 376207, 173871, 173871
21, 1860580, 383724, 385251, 371454, 369877, 175137, 175137
22, 1858207, 389928, 382128, 368112, 375839, 171100, 171100
23, 1860210, 373022, 404942, 390823, 359277, 166073, 166073
24, 1856485, 394406, 377532, 363818, 380727, 170001, 170001
25, 1858966, 380894, 385733, 371764, 367185, 176695, 176695
26, 1860940, 388372, 381725, 367983, 374292, 174284, 174284
27, 1861065, 389804, 389350, 375642, 375975, 165147, 165147
28, 1864708, 366691, 408892, 394756, 353493, 170438, 170438
29, 1859743, 386728, 384829, 371201, 372941, 172022, 172022
30, 1863192, 375991, 400360, 386310, 362499, 169016, 169016
31, 1861453, 408304, 371250, 357804, 394221, 164937, 164937
32, 1857859, 391344, 388805, 374631, 377335, 162872, 162872
33, 1858974, 367241, 408675, 394465, 353513, 167540, 167540
34, 1859237, 395564, 370169, 356656, 381576, 177636, 177636
35, 1860238, 387356, 381719, 368049, 373082, 175016, 175016
36, 1854935, 393121, 377261, 363357, 379048, 171074, 171074
37, 1860516, 397928, 373905, 359865, 383742, 172538, 172538
38, 1859098, 401920, 374819, 361092, 387935, 166666, 166666
39, 1860730, 389546, 381118, 367128, 375598, 173670, 173670
40, 1857383, 379720, 396115, 382019, 365889, 166820, 166820
41, 1861199, 378435, 394690, 380879, 365007, 171094, 171094
42, 1859871, 371520, 407860, 393550, 358085, 164428, 164428
43, 1860435, 403470, 368673, 355064, 389514, 171857, 171857
44, 1859632, 389713, 391620, 377514, 375911, 162437, 162437
45, 1860407, 386286, 392868, 378681, 372562, 165005, 165005
46, 1856168, 388851, 381143, 367297, 374741, 172068, 172068
47, 1861650, 378145, 397908, 383796, 364443, 168679, 168679
48, 1856820, 370737, 395531, 381503, 356927, 176061, 176061
49, 1858777, 393327, 377403, 363709, 379200, 172569, 172569
50, 1862231, 392547, 381999, 368328, 378439, 170459, 170459
51, 1860819, 403428, 363122, 349795, 389268, 177603, 177603
52, 1857993, 388600, 388963, 374957, 374729, 165372, 165372
53, 1858334, 378935, 396493, 382560, 364812, 167767, 167767
54, 1860211, 387907, 392219, 378045, 374090, 163975, 163975
55, 1860335, 381726, 389407, 375730, 367874, 172799, 172799
56, 1858596, 381784, 392350, 378231, 367713, 169259, 169259
57, 1856348, 384668, 389203, 374997, 370730, 168375, 168375
58, 1858267, 388480, 391224, 377006, 374629, 163464, 163464
59, 1860296, 388946, 381146, 367423, 375059, 173861, 173861
60, 1857923, 382414, 397231, 382941, 368471, 163433, 163433
61, 1861483, 385442, 387412, 373442, 372047, 171570, 171570
62, 1857565, 390954, 387440, 373356, 376623, 164596, 164596
63, 1863722, 386165, 385356, 371613, 372326, 174131, 174131
64, 1861773, 383014, 394217, 380422, 369404, 167358, 167358
65, 1861967, 372223, 398638, 384670, 358632, 173902, 173902
66, 1862168, 390359, 380948, 367219, 376398, 173622, 173622
67, 1859880, 390691, 386618, 372947, 376964, 166330, 166330
68, 1857294, 383372, 390248, 375888, 369666, 169060, 169060
69, 1859390, 392123, 383068, 369273, 378100, 168413, 168413
70, 1860648, 392650, 380544, 366468, 378644, 171171, 171171
71, 1859093, 399739, 378744, 364864, 385696, 165025, 165025
72, 1858977, 386665, 386760, 372683, 372509, 170180, 170180
73, 1859386, 358699, 421565, 407428, 345084, 163305, 163305
74, 1860352, 402671, 376083, 362224, 388556, 165409, 165409
75, 1856786, 383063, 391974, 377719, 369342, 167344, 167344
76, 1856499, 399952, 373458, 359261, 385684, 169072, 169072
77, 1862313, 388606, 386037, 372033, 374839, 170399, 170399
78, 1857023, 364850, 403237, 389165, 350979, 174396, 174396
79, 1858353, 383078, 382329, 368442, 369192, 177656, 177656
80, 1860392, 404403, 367649, 353977, 390489, 171937, 171937
81, 1859460, 374735, 393668, 379671, 360900, 175243, 175243
82, 1855470, 369684, 403943, 389681, 355782, 168190, 168190
83, 1858651, 405248, 377117, 363120, 390830, 161168, 161168
84, 1856976, 376518, 388961, 375123, 362906, 176734, 176734
85, 1855292, 379189, 388134, 374020, 365221, 174364, 174364
86, 1861556, 370059, 395460, 381713, 356334, 178995, 178995
87, 1860498, 399055, 381545, 367711, 384807, 163690, 163690
88, 1862950, 404750, 376954, 363680, 390898, 163334, 163334
89, 1860788, 401139, 370900, 357293, 387318, 172069, 172069
90, 1861282, 406524, 368742, 354773, 392535, 169354, 169354
91, 1861715, 378915, 393453, 379395, 365156, 172398, 172398
92, 1860794, 398069, 375087, 361227, 383931, 171240, 171240
93, 1859157, 386690, 393207, 379432, 372592, 163618, 163618
94, 1860391, 384814, 387926, 373998, 370915, 171369, 171369
95, 1856781, 368803, 392195, 377901, 354906, 181488, 181488
96, 1865381, 385872, 394274, 380771, 372526, 165969, 165969
97, 1860088, 379945, 392287, 378296, 366182, 171689, 171689
98, 1859596, 380698, 397196, 383341, 367055, 165653, 165653
99, 1859302, 405442, 379794, 365695, 391001, 158685, 158685
100, 1858710, 382440, 394650, 380847, 368435, 166169, 166169
101, 1858268, 358055, 406093, 391982, 344228, 178955, 178955
102, 1856627, 387869, 381688, 367786, 373940, 172672, 172672
103, 1857239, 404812, 370355, 356536, 390734, 167401, 167401
104, 1859992, 384718, 388076, 373842, 370868, 171244, 171244
105, 1855234, 401954, 375559, 361589, 387728, 164202, 164202
106, 1861535, 380747, 392624, 378706, 366840, 171309, 171309
107, 1861295, 398246, 384341, 370855, 384367, 161743, 161743
108, 1860832, 401850, 379075, 365246, 387921, 163370, 163370
109, 1859481, 397292, 373808, 360336, 383071, 172487, 172487
110, 1857323, 382698, 390670, 376343, 369106, 169253, 169253
111, 1859368, 369490, 404948, 390579, 355607, 169372, 169372
112, 1860202, 384970, 393612, 379821, 371145, 165327, 165327
113, 1859506, 375634, 401370, 387401, 361937, 166582, 166582
114, 1855755, 391944, 376205, 362435, 378059, 173556, 173556
115, 1861985, 393571, 383921, 370443, 379832, 167109, 167109
116, 1860875, 391881, 371201, 357693, 378084, 181008, 181008
117, 1859417, 406332, 373980, 360054, 392147, 163452, 163452
118, 1858485, 368402, 400391, 386228, 354374, 174545, 174545
119, 1856107, 389915, 385326, 371284, 375616, 166983, 166983
120, 1860336, 410323, 367794, 354012, 396347, 165930, 165930
121, 1858860, 384678, 392603, 378561, 370668, 166175, 166175
122, 1856628, 411214, 363480, 349609, 396743, 167791, 167791
123, 1857875, 406287, 370144, 356453, 391819, 166586, 166586
124, 1857757, 364836, 410088, 395537, 351052, 168122, 168122
125, 1857768, 411262, 363724, 350148, 396790, 167922, 167922
126, 1857268, 390574, 383582, 369558, 375988, 168783, 168783
127, 1860033, 377400, 391311, 377200, 363690, 175216, 175216
128, 1859915, 417694, 360561, 346815, 403419, 165713, 165713
129, 1860040, 388878, 387472, 373682, 375062, 167473, 167473
130, 1861728, 392008, 386703, 372830, 378145, 166021, 166021
131, 1860788, 391440, 391477, 377528, 377115, 161614, 161614
132, 1861478, 388958, 373434, 359624, 375050, 182206, 182206
133, 1860540, 368138, 394148, 380176, 354756, 181661, 181661
134, 1857600, 377436, 394477, 380497, 363532, 170829, 170829
135, 1863676, 380202, 392888, 379196, 366546, 172422, 172422
136, 1858761, 394206, 369464, 355454, 380023, 179807, 179807
137, 1861096, 403518, 372026, 358563, 389663, 168663, 168663
138, 1853820, 386557, 384161, 370037, 372339, 170363, 170363
139, 1859900, 384908, 393341, 379647, 371116, 165444, 165444
140, 1861770, 369326, 408423, 394328, 355693, 167000, 167000
141, 1858392, 389370, 383898, 369920, 375326, 169939, 169939
142, 1861590, 379503, 400734, 386703, 365932, 164359, 164359
143, 1858157, 377431, 393711, 379662, 363387, 171983, 171983
144, 1855935, 382820, 383844, 369664, 368719, 175444, 175444
145, 1857591, 394055, 375246, 361276, 380078, 173468, 173468
146, 1860273, 377682, 398851, 384657, 363863, 167610, 167610
147, 1861336, 386058, 389658, 375740, 372336, 168772, 168772
148, 1861114, 385599, 393442, 379667, 371466, 165470, 165470
149, 1863496, 381787, 393072, 379152, 368015, 170735, 170735
150, 1857974, 384911, 384409, 370635, 370775, 173622, 173622
151, 1860974, 396420, 379114, 365266, 382456, 168859, 168859
152, 1862484, 378291, 398026, 384476, 364667, 168512, 168512
