sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
4, 901714, 447324, 319, 268, 447131, 3336, 3336, 77279878
10, 901139, 303, 447293, 447175, 244, 3062, 3062, 704836217
9, 902150, 186, 447828, 447721, 147, 3134, 3134, 4197859889
11, 901394, 231, 447484, 447335, 192, 3076, 3076, 154475011
7, 900762, 189, 447358, 447296, 155, 2882, 2882, 13505099
0, 900821, 297, 447099, 447024, 247, 3077, 3077, 2619992208
5, 900380, 446858, 263, 204, 446781, 3137, 3137, 1993533675
8, 902799, 448092, 225, 186, 447952, 3172, 3172, 152626669
3, 900291, 446761, 302, 248, 446652, 3164, 3164, 753611016
2, 900959, 358, 446880, 446793, 312, 3308, 3308, 1580550989
6, 900761, 446795, 262, 210, 446690, 3402, 3402, 3102244669
1, 901587, 446564, 622, 546, 446521, 3667, 3667, 2479399866
15, 901177, 313, 447446, 447213, 263, 2971, 2971, 1709422328
14, 899153, 446171, 256, 199, 445881, 3323, 3323, 499193684
17, 900373, 202, 446845, 446657, 165, 3252, 3252, 2564414049
13, 900730, 278, 447009, 446946, 235, 3131, 3131, 4283367018
12, 899830, 446490, 310, 254, 446380, 3198, 3198, 2205514244
16, 899341, 446358, 199, 159, 446151, 3237, 3237, 382404189
20, 900932, 433, 447063, 446926, 374, 3068, 3068, 3209021356
21, 899936, 367, 446356, 446154, 317, 3371, 3371, 3936682901
18, 901121, 236, 447117, 447046, 192, 3265, 3265, 1222987403
19, 900678, 447313, 229, 182, 447238, 2858, 2858, 1123975085
23, 900788, 455, 446658, 446573, 382, 3360, 3360, 1637673940
27, 900378, 155, 446689, 446548, 114, 3436, 3436, 2309363685
22, 900149, 250, 446589, 446482, 202, 3313, 3313, 1536074410
26, 901315, 274, 447185, 447059, 235, 3281, 3281, 3189798008
25, 900842, 301, 446937, 446811, 255, 3269, 3269, 3069414319
24, 901183, 447347, 291, 229, 447236, 3040, 3040, 4013557704
