sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
5, 4874163, 33345, 2310124, 2304057, 28779, 98929, 98929, 2786718949
10, 4868953, 31765, 2306339, 2300939, 27228, 101341, 101341, 484858282
15, 4878926, 29190, 2315264, 2310033, 24677, 99881, 99881, 1235916980
4, 4875585, 2313931, 30779, 26183, 2307954, 98369, 98369, 2260276191
11, 4872383, 26938, 2316932, 2311274, 22567, 97336, 97336, 2686956142
2, 4874711, 2316993, 27971, 23528, 2311061, 97579, 97579, 1472142359
14, 4871322, 2301279, 38113, 33530, 2295096, 101652, 101652, 214011781
1, 4868898, 2305624, 32335, 27643, 2299100, 102098, 102098, 245210069
8, 4875561, 35278, 2305204, 2300536, 30661, 101941, 101941, 2848962365
12, 4883480, 2316797, 31749, 27432, 2311716, 97893, 97893, 1620701277
6, 4874661, 31424, 2312398, 2307542, 26991, 98153, 98153, 64607416
0, 4875049, 2308257, 35073, 30552, 2302529, 99319, 99319, 3741141840
7, 4876340, 2313855, 29495, 25144, 2308452, 99697, 99697, 223345123
9, 4873745, 2307733, 33139, 28680, 2302477, 100858, 100858, 3841792950
13, 4869644, 34659, 2300517, 2296041, 29995, 104216, 104216, 1962284444
3, 4877549, 2305221, 38915, 34614, 2300355, 99222, 99222, 3592356537
16, 4870101, 2310664, 26895, 22491, 2304673, 102689, 102689, 621753121
17, 4877068, 34405, 2309900, 2304509, 30008, 99123, 99123, 1264725489
21, 4878714, 28643, 2314106, 2309193, 24208, 101282, 101282, 973801974
19, 4875910, 28618, 2316642, 2311088, 24274, 97644, 97644, 2135626284
23, 4883483, 28589, 2319905, 2314758, 24149, 98041, 98041, 3398915372
22, 4874632, 33368, 2308565, 2303581, 28878, 100120, 100120, 1613843552
26, 4876493, 2315517, 29875, 25593, 2309296, 98106, 98106, 2722985346
20, 4872441, 2306952, 34273, 29764, 2301398, 100027, 100027, 3253087017
30, 4876559, 32623, 2308247, 2303390, 28121, 102089, 102089, 3091174042
25, 4866895, 36185, 2299007, 2293538, 31381, 103392, 103392, 1804323622
29, 4875125, 2307934, 32303, 27793, 2302331, 102382, 102382, 2302387363
27, 4877619, 2315281, 30330, 25743, 2310033, 98116, 98116, 106899309
18, 4883051, 2315190, 29205, 24783, 2310609, 101632, 101632, 1519468954
33, 4876791, 26648, 2318553, 2312565, 22265, 98380, 98380, 2846009425
24, 4875247, 2308691, 30910, 26307, 2303999, 102670, 102670, 576127273
28, 4875444, 2313793, 28002, 23472, 2308831, 100673, 100673, 1358872644
31, 4871913, 2307487, 30985, 26549, 2301920, 102486, 102486, 827674900
36, 4877520, 2319967, 27655, 23182, 2313920, 96398, 96398, 1460365011
