sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
2, 852151, 152847, 259033, 258217, 152188, 14933, 14933, 501101995
0, 851697, 177785, 227350, 226687, 176911, 21482, 21482, 1960508566
8, 852191, 149227, 238990, 238185, 148519, 38635, 38635, 3691311180
5, 852028, 231596, 176680, 175918, 230864, 18485, 18485, 1082293258
9, 853852, 133994, 252508, 251586, 133330, 41217, 41217, 1453522446
4, 851352, 273832, 121847, 121027, 273052, 30797, 30797, 520011529
11, 853294, 343478, 54888, 54231, 342585, 29056, 29056, 89681114
6, 851355, 381900, 27884, 27235, 380858, 16739, 16739, 33587989
10, 850042, 175978, 227265, 226388, 175141, 22635, 22635, 3727277053
1, 852283, 246191, 161641, 160943, 245290, 19109, 19109, 1300852450
7, 851135, 373037, 37094, 36397, 372127, 16240, 16240, 2528711142
3, 851101, 250772, 146835, 146103, 249873, 28759, 28759, 64956175
12, 850960, 235521, 161160, 160387, 234650, 29621, 29621, 4148647379
16, 849044, 247664, 152500, 151600, 246858, 25211, 25211, 819513360
17, 850581, 183769, 224116, 223299, 183051, 18173, 18173, 1152484049
23, 851003, 114163, 288646, 287682, 113436, 23538, 23538, 1249299602
15, 852241, 325071, 85260, 84554, 324254, 16551, 16551, 3191094258
13, 850558, 277783, 112746, 111994, 276999, 35518, 35518, 612842261
14, 849663, 328048, 60522, 59787, 327272, 37017, 37017, 3632962914
18, 850265, 132567, 270380, 269461, 131879, 22989, 22989, 1910352801
22, 853486, 296627, 110322, 109550, 295807, 20590, 20590, 2744530068
21, 850370, 356882, 52686, 51981, 355981, 16420, 16420, 3309184051
19, 851502, 155362, 251542, 250735, 154751, 19556, 19556, 4112506615
20, 852242, 208576, 196336, 195607, 207789, 21967, 21967, 564982720
28, 852330, 69049, 336420, 335405, 68312, 21572, 21572, 4018514079
25, 850948, 217123, 182558, 181701, 216356, 26605, 26605, 2217040618
27, 852511, 211055, 186950, 186082, 210258, 29083, 29083, 2582225948
24, 850685, 264855, 137008, 136205, 264003, 24307, 24307, 910262847
33, 854485, 157956, 242792, 241893, 157234, 27305, 27305, 929551347
26, 852329, 190932, 169410, 168551, 190280, 66578, 66578, 3760318973
29, 851858, 195868, 190860, 190020, 195016, 40047, 40047, 2522153949
30, 850466, 192614, 212983, 212216, 191717, 20468, 20468, 533107228
32, 849715, 161869, 211884, 211068, 161114, 51890, 51890, 2417399327
31, 853256, 324424, 84155, 83439, 323562, 18838, 18838, 717233779
35, 850755, 208780, 200982, 200275, 207948, 16385, 16385, 400997092
34, 851970, 133724, 273146, 272461, 133057, 19791, 19791, 1190951373
38, 852726, 89325, 319654, 318616, 88615, 18258, 18258, 3185212376
36, 852314, 315027, 87954, 87256, 314265, 23906, 23906, 959697787
39, 852701, 179100, 214598, 213749, 178216, 33519, 33519, 2422591954
42, 850747, 80954, 319342, 318391, 80226, 25917, 25917, 3708943707
37, 852258, 368307, 43405, 42789, 367487, 15135, 15135, 424431281
41, 852216, 162608, 231228, 230455, 161853, 33036, 33036, 2287822487
40, 851320, 243988, 142578, 141823, 243125, 39903, 39903, 1004787368
44, 851538, 156993, 252811, 251955, 156303, 16738, 16738, 660987594
43, 851685, 154655, 232871, 232107, 153908, 39072, 39072, 3719580982
46, 852078, 203204, 203331, 202550, 202309, 20342, 20342, 3892496259
45, 851103, 212255, 188349, 187620, 211379, 25750, 25750, 2464607269
47, 852678, 326497, 79001, 78299, 325721, 21580, 21580, 410464214
48, 851239, 175025, 200778, 199921, 174271, 50622, 50622, 2970753393
56, 850589, 74269, 317799, 316809, 73492, 34110, 34110, 3606987703
53, 851754, 214398, 184590, 183836, 213644, 27643, 27643, 2925595506
52, 852366, 210648, 189633, 188816, 209903, 26683, 26683, 983007461
50, 851076, 350055, 55269, 54650, 349292, 20905, 20905, 3517425958
49, 851762, 250937, 147645, 146974, 250080, 28063, 28063, 2759888938
51, 852646, 382729, 27005, 26351, 381859, 17351, 17351, 228122811
54, 851208, 351959, 46536, 45845, 351180, 27844, 27844, 2146173583
55, 850350, 174011, 197475, 196725, 173175, 54482, 54482, 1380292696
58, 850097, 295657, 112647, 111966, 294697, 17565, 17565, 3235307498
57, 852083, 185197, 71069, 70406, 184469, 170471, 170471, 1484555927
59, 853569, 179331, 227160, 226543, 178649, 20943, 20943, 189287157
