L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
2000,0.26778033,2.9063542500e-03,8.9450439358e-06,1.0516747838e-10
2000,0.27074380,2.2004607500e-03,5.0836780844e-06,3.2250406310e-11
2000,0.27398276,1.6974052500e-03,3.0220734202e-06,1.1445807321e-11
2000,0.27750944,1.3242582500e-03,1.8354855829e-06,4.1958699043e-12
2000,0.28133609,1.0260785000e-03,1.0918524037e-06,1.4006614303e-12
2000,0.28547495,8.0853950000e-04,6.7634230037e-07,5.3350019358e-13
2000,0.28993827,6.4388575000e-04,4.2785121806e-07,2.1002269526e-13
2000,0.29473829,5.1628175000e-04,2.7531661069e-07,8.8324396227e-14
2000,0.29988726,4.1249250000e-04,1.7480771187e-07,3.4518398780e-14
4000,0.00000000,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
4000,0.01469901,9.9665383444e-01,9.9331886736e-01,9.8668237885e-01
4000,0.02880420,9.8753922494e-01,9.7523372698e-01,9.5108084640e-01
4000,0.04232782,9.7391383456e-01,9.4850817082e-01,8.9966780196e-01
4000,0.05528211,9.5684658069e-01,9.1555540084e-01,8.3824177207e-01
4000,0.06767932,9.3720817869e-01,8.7835920085e-01,7.7151499339e-01
4000,0.07953168,9.1576210525e-01,8.3862027033e-01,7.0328408164e-01
4000,0.09085144,8.9311067100e-01,7.9764672347e-01,6.3624046398e-01
4000,0.10165085,8.6978634606e-01,7.5652835090e-01,5.7233533668e-01
4000,0.11194215,8.4617359544e-01,7.1600982418e-01,5.1267027041e-01
4000,0.12173758,8.2261926869e-01,6.7670252862e-01,4.5792649470e-01
4000,0.13104938,7.9932415800e-01,6.3891919223e-01,4.0821794547e-01
4000,0.13988981,7.7654653894e-01,6.0302461535e-01,3.6363889951e-01
4000,0.14827109,7.5438749413e-01,5.6910059184e-01,3.2387571252e-01
4000,0.15620549,7.3297946700e-01,5.3725900487e-01,2.8864746574e-01
4000,0.16370523,7.1237412081e-01,5.0747700060e-01,2.5753313469e-01
4000,0.17078257,6.9259705319e-01,4.7969079716e-01,2.3010348934e-01
4000,0.17744975,6.7366831250e-01,4.5382911974e-01,2.0596109588e-01
4000,0.18371901,6.5557629363e-01,4.2978040626e-01,1.8471142019e-01
4000,0.18960259,6.3830243731e-01,4.0743014844e-01,1.6599956538e-01
4000,0.19511274,6.2183047594e-01,3.8667329844e-01,1.4951648352e-01
4000,0.20026171,6.0603614244e-01,3.6727997654e-01,1.3489483180e-01
4000,0.20506173,5.9094316600e-01,3.4921400816e-01,1.2195067871e-01
4000,0.20952505,5.7641283950e-01,3.3225194748e-01,1.1039160372e-01
4000,0.21366391,5.6247124913e-01,3.1637414387e-01,1.0009289978e-01
4000,0.21749056,5.4893019331e-01,3.0132463112e-01,9.0796863576e-02
4000,0.22101724,5.3580000481e-01,2.8708199911e-01,8.2416480621e-02
4000,0.22425620,5.2290854806e-01,2.7343379124e-01,7.4766521073e-02
