sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
10, 2604768, 7418, 1260416, 1257753, 5957, 36612, 36612, 3949046682
13, 2604212, 7168, 1259433, 1257192, 5777, 37321, 37321, 1540901930
4, 2611143, 7031, 1264173, 1262057, 5600, 36141, 36141, 2377538474
2, 2610178, 7551, 1262299, 1260247, 6053, 37014, 37014, 3642410348
0, 2612520, 6776, 1264386, 1262301, 5401, 36828, 36828, 2239659886
7, 2605522, 1260027, 7069, 5584, 1257890, 37476, 37476, 4199441553
14, 2606557, 1258817, 7409, 5950, 1256901, 38740, 38740, 3918801883
15, 2615173, 1266567, 6586, 5141, 1264421, 36229, 36229, 3022497574
3, 2613789, 1265344, 6390, 5017, 1262680, 37179, 37179, 3295759164
9, 2615516, 1266605, 6884, 5453, 1264154, 36210, 36210, 2878941044
12, 2610616, 1263678, 6705, 5262, 1261105, 36933, 36933, 3866939594
11, 2611487, 1263200, 8276, 6779, 1261222, 36005, 36005, 4235695923
5, 2606962, 6520, 1261345, 1259718, 5093, 37143, 37143, 2059232767
6, 2608890, 7298, 1260180, 1258732, 5838, 38421, 38421, 1779491368
1, 2605710, 1259697, 6921, 5427, 1258087, 37789, 37789, 49660347
8, 2611012, 1262739, 7916, 6397, 1261064, 36448, 36448, 3611919885
16, 2605249, 7602, 1259355, 1257256, 6082, 37477, 37477, 2771284435
20, 2608261, 7103, 1260757, 1258688, 5547, 38083, 38083, 1053847125
19, 2603313, 1258902, 6949, 5533, 1256789, 37570, 37570, 1977752413
23, 2607032, 1262359, 6364, 4945, 1260214, 36575, 36575, 3282534665
31, 2611102, 7459, 1262705, 1260119, 6013, 37403, 37403, 4121853210
27, 2607411, 1263563, 6768, 5384, 1260314, 35691, 35691, 367543011
21, 2608280, 1262507, 6271, 4877, 1260149, 37238, 37238, 1910327710
18, 2610217, 7893, 1260620, 1259154, 6380, 38085, 38085, 1920822204
24, 2606994, 7223, 1259856, 1258208, 5709, 37999, 37999, 3665529355
22, 2604856, 1259090, 7188, 5696, 1256578, 38152, 38152, 3224250266
17, 2604842, 1257255, 7955, 6429, 1255607, 38798, 38798, 114574495
26, 2607489, 1259607, 7383, 5832, 1257857, 38405, 38405, 3743142309
25, 2606419, 1258639, 7979, 6483, 1257092, 38113, 38113, 2832093911
30, 2604172, 1256821, 7604, 6012, 1254955, 39390, 39390, 3757877894
29, 2616266, 1265411, 7078, 5673, 1263978, 37063, 37063, 1792796353
33, 2607781, 1264846, 5787, 4426, 1261158, 35782, 35782, 2493614613
28, 2608702, 1261232, 6805, 5336, 1259747, 37791, 37791, 3147889371
32, 2607317, 1261272, 6360, 4940, 1258999, 37873, 37873, 3063033295
34, 2607265, 7127, 1261192, 1258222, 5704, 37510, 37510, 337911606
37, 2607173, 1262780, 6651, 5188, 1260394, 36080, 36080, 2008239245
39, 2608499, 7657, 1260565, 1258674, 6063, 37770, 37770, 3054270790
35, 2611887, 1263581, 7225, 5779, 1260776, 37263, 37263, 1992538282
41, 2601403, 1257936, 7092, 5605, 1255672, 37549, 37549, 3280135043
44, 2608907, 7768, 1260658, 1258574, 6307, 37800, 37800, 3934846801
36, 2605311, 1259960, 7102, 5604, 1257657, 37494, 37494, 2656951212
38, 2603820, 7100, 1258971, 1257220, 5563, 37483, 37483, 2707503115
40, 2608179, 8126, 1260158, 1258548, 6693, 37327, 37327, 2165853804
45, 2610011, 1261765, 8029, 6589, 1259704, 36962, 36962, 3636907166
48, 2611696, 7429, 1263667, 1261661, 5979, 36480, 36480, 2230023230
49, 2606079, 6876, 1260863, 1258846, 5456, 37019, 37019, 3270211601
46, 2608639, 1260370, 7509, 6053, 1258239, 38234, 38234, 45689115
47, 2609812, 7590, 1261864, 1260124, 6102, 37066, 37066, 3703515682
50, 2604466, 1260592, 6783, 5343, 1257626, 37061, 37061, 4114774473
42, 2610507, 6935, 1262548, 1261041, 5483, 37250, 37250, 1908819692
43, 2603251, 7591, 1257959, 1256378, 6047, 37638, 37638, 4240999770
51, 2608363, 7705, 1259718, 1257618, 6196, 38563, 38563, 4180332703
54, 2604734, 7148, 1259136, 1256420, 5670, 38180, 38180, 1520126523
57, 2603644, 8098, 1257017, 1254620, 6553, 38678, 38678, 1167935331
52, 2606118, 8012, 1258778, 1256646, 6470, 38106, 38106, 228256620
53, 2604695, 1259023, 7645, 6206, 1256331, 37745, 37745, 2045350162
56, 2607981, 7134, 1261408, 1259676, 5673, 37045, 37045, 818681131
55, 2608151, 1262096, 6752, 5333, 1259694, 37138, 37138, 1867291743
59, 2605643, 6842, 1259511, 1257241, 5339, 38355, 38355, 1076601780
58, 2605184, 1259711, 7534, 6000, 1258023, 36958, 36958, 503321741
60, 2605639, 1259529, 8066, 6675, 1256919, 37225, 37225, 1040333037
65, 2607741, 1262220, 6496, 5098, 1259705, 37111, 37111, 3281318506
63, 2604483, 1260216, 7241, 5753, 1257497, 36888, 36888, 2130683334
62, 2605177, 1259295, 7608, 6065, 1257191, 37509, 37509, 2034105237
68, 2602423, 7957, 1256547, 1254417, 6390, 38556, 38556, 4029512631
64, 2603238, 1256048, 7959, 6414, 1253973, 39422, 39422, 4083412811
67, 2603429, 6900, 1259489, 1257659, 5453, 36964, 36964, 3403186743
71, 2609459, 7056, 1262558, 1260344, 5545, 36978, 36978, 1411669105
61, 2606303, 1258323, 7976, 6422, 1256786, 38398, 38398, 4280167406
69, 2608104, 1261849, 6840, 5323, 1259674, 37209, 37209, 77109317
70, 2606930, 1257023, 8058, 6457, 1254080, 40656, 40656, 3929969995
66, 2607740, 7043, 1261033, 1259537, 5617, 37255, 37255, 3709393076
73, 2605358, 6883, 1259216, 1257467, 5480, 38156, 38156, 864010665
72, 2606168, 1259690, 7662, 6139, 1257047, 37815, 37815, 3287737869
74, 2609697, 6653, 1262513, 1261026, 5297, 37104, 37104, 1282359680
76, 2606752, 1259184, 6896, 5481, 1257175, 39008, 39008, 3464732595
79, 2608617, 6958, 1261120, 1259363, 5552, 37812, 37812, 4194158638
80, 2609204, 1262013, 7900, 6360, 1259229, 36851, 36851, 4087245378
78, 2608146, 1260415, 7800, 6312, 1258445, 37587, 37587, 892503866
75, 2605836, 1259632, 6578, 5105, 1257787, 38367, 38367, 1830865681
89, 2613810, 7750, 1264489, 1260924, 6199, 37224, 37224, 1138495806
77, 2607611, 1260175, 7849, 6351, 1258658, 37289, 37289, 3825528325
84, 2604365, 1256973, 8219, 6702, 1254641, 38915, 38915, 1149634923
81, 2607668, 1260360, 6768, 5301, 1258585, 38327, 38327, 3881568328
83, 2612690, 1265514, 6766, 5372, 1263690, 35674, 35674, 1867767598
87, 2603865, 9607, 1255085, 1253578, 8033, 38781, 38781, 3706405576
93, 2609994, 7028, 1264749, 1261343, 5598, 35638, 35638, 4180929796
82, 2605172, 1258992, 6865, 5442, 1257143, 38365, 38365, 2087290623
91, 2606236, 6515, 1260714, 1258475, 5078, 37727, 37727, 2260645502
92, 2610112, 8239, 1261692, 1259389, 6812, 36990, 36990, 3679789192
86, 2603681, 1257603, 7755, 6306, 1256043, 37987, 37987, 958131828
88, 2606164, 1260071, 7324, 5903, 1258210, 37328, 37328, 2919947572
85, 2612268, 1263325, 6988, 5503, 1261634, 37409, 37409, 3321778328
90, 2607606, 1261675, 6852, 5396, 1259759, 36962, 36962, 995414810
94, 2604446, 1256864, 8364, 6814, 1254486, 38959, 38959, 3238501519
98, 2611129, 7410, 1262684, 1260973, 5996, 37033, 37033, 1438979248
104, 2602418, 7415, 1258529, 1255764, 5952, 37379, 37379, 3160028679
103, 2606415, 8111, 1257918, 1256250, 6640, 38748, 38748, 3015892169
97, 2609133, 1262023, 6993, 5593, 1260342, 37091, 37091, 101569721
