sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
10, 1439804, 343217, 348526, 173521, 169188, 202676, 202676, 734313325
9, 1441065, 346000, 346232, 170849, 171244, 203370, 203370, 31869780
0, 1443016, 347877, 346527, 172394, 172636, 201791, 201791, 1357970637
4, 1438526, 343362, 348138, 172849, 168679, 202749, 202749, 2965875358
13, 1438692, 343014, 346953, 172484, 169555, 203343, 203343, 1813812302
5, 1442168, 347450, 344740, 170241, 173101, 203318, 203318, 3890517040
8, 1439204, 345528, 345909, 170867, 170996, 202952, 202952, 316476527
12, 1438278, 345347, 346363, 171687, 170229, 202326, 202326, 1599009216
1, 1437178, 346315, 346398, 171546, 171479, 200720, 200720, 1977445314
7, 1443826, 349386, 343516, 169981, 173981, 203481, 203481, 2764574803
3, 1442825, 348794, 343017, 170189, 172457, 204184, 204184, 3661880492
6, 1435519, 343619, 345030, 170294, 169012, 203782, 203782, 787378590
2, 1437804, 345043, 346481, 171683, 170579, 202009, 202009, 3956822702
11, 1439651, 343850, 346161, 171814, 169526, 204150, 204150, 2331667082
15, 1439370, 345984, 345759, 171092, 170607, 202964, 202964, 3293687149
14, 1444048, 345571, 347394, 172015, 171326, 203871, 203871, 2248932336
16, 1436059, 344842, 347334, 171734, 170631, 200759, 200759, 2337822075
17, 1436649, 345585, 344505, 170064, 170801, 202847, 202847, 2663392560
19, 1441472, 347436, 345723, 171276, 172249, 202394, 202394, 2404356305
23, 1438585, 346446, 343343, 169943, 170731, 204061, 204061, 3387041294
20, 1440893, 344334, 344944, 170919, 170572, 205062, 205062, 4203811462
21, 1438888, 344848, 344565, 170779, 170526, 204085, 204085, 2109435126
18, 1442220, 344606, 347189, 171720, 171397, 203654, 203654, 483044034
25, 1442455, 346082, 347514, 171897, 171544, 202709, 202709, 2953276875
27, 1442781, 347661, 343644, 169485, 173179, 204406, 204406, 1332770450
26, 1441401, 344973, 346171, 171829, 170266, 204081, 204081, 2471674929
