sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
0, 1654943, 336727, 332545, 307816, 311745, 183055, 183055
1, 1649245, 332748, 339718, 314366, 307663, 177375, 177375
2, 1653277, 336752, 333766, 309172, 311751, 180918, 180918
3, 1655131, 342465, 329226, 304910, 317384, 180573, 180573
4, 1657559, 332104, 339008, 314190, 307577, 182340, 182340
5, 1654752, 329614, 340575, 315917, 305180, 181733, 181733
6, 1654004, 325550, 343208, 318235, 300947, 183032, 183032
7, 1657262, 333782, 331383, 306970, 308955, 188086, 188086
8, 1654955, 330819, 335184, 310429, 306269, 186127, 186127
9, 1656662, 332865, 342682, 317843, 308184, 177544, 177544
10, 1653269, 335572, 325208, 300739, 310542, 190604, 190604
11, 1655090, 340636, 326490, 302117, 315725, 185061, 185061
12, 1653671, 336993, 331618, 306977, 311991, 183046, 183046
13, 1655501, 324596, 343278, 318268, 300251, 184554, 184554
14, 1657082, 341722, 328286, 303842, 316880, 183176, 183176
15, 1653168, 340227, 328490, 303377, 315552, 182761, 182761
16, 1654653, 337801, 329166, 304604, 312612, 185235, 185235
17, 1656470, 341736, 327888, 303335, 316875, 183318, 183318
18, 1652540, 330487, 338718, 313769, 305924, 181821, 181821
19, 1651431, 346806, 321140, 296667, 321394, 182712, 182712
20, 1653924, 345012, 327374, 302928, 319998, 179306, 179306
21, 1655059, 328723, 339074, 314278, 304178, 184403, 184403
22, 1655350, 338813, 324876, 300474, 313793, 188697, 188697
23, 1654244, 325529, 341576, 316152, 300989, 184999, 184999
24, 1650913, 335210, 331049, 306057, 310299, 184149, 184149
25, 1652020, 336458, 329649, 305020, 311675, 184609, 184609
26, 1656041, 333345, 337246, 312251, 308895, 182152, 182152
27, 1655427, 331963, 339156, 314583, 307105, 181310, 181310
28, 1654556, 332248, 339239, 314537, 307290, 180621, 180621
29, 1656650, 334443, 335121, 310158, 309944, 183492, 183492
30, 1651067, 342268, 325501, 301264, 317106, 182464, 182464
31, 1655047, 327603, 342199, 317196, 303169, 182440, 182440
32, 1649878, 336903, 329934, 305061, 311868, 183056, 183056
33, 1655751, 340791, 334687, 309815, 316184, 177137, 177137
34, 1654554, 340324, 327910, 303505, 315085, 183865, 183865
35, 1651932, 331677, 337252, 312273, 306568, 182081, 182081
36, 1654612, 333392, 337821, 313215, 308366, 180909, 180909
37, 1653383, 336571, 331620, 306707, 311491, 183497, 183497
38, 1656092, 352278, 321486, 296955, 327165, 179104, 179104
39, 1661844, 341018, 331510, 307305, 316225, 182893, 182893
40, 1654372, 337327, 332196, 307354, 312471, 182512, 182512
41, 1657525, 335809, 331766, 307016, 311228, 185853, 185853
42, 1653931, 341538, 322102, 297490, 316533, 188134, 188134
43, 1651752, 329451, 344912, 319910, 304781, 176349, 176349
