sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
16, 3734893, 750629, 833129, 790384, 710331, 325210, 325210, 899632395
4, 3735555, 806075, 769845, 728841, 764542, 333126, 333126, 3056392541
17, 3727012, 735525, 834381, 792121, 695159, 334913, 334913, 3963955496
11, 3724277, 772813, 802440, 759610, 731986, 328714, 328714, 132010348
8, 3722310, 773901, 792586, 751226, 732937, 335830, 335830, 3745338451
14, 3734599, 763107, 816717, 775447, 722738, 328295, 328295, 3313402729
6, 3734271, 807237, 758175, 717387, 766186, 342643, 342643, 2679173867
5, 3732512, 769110, 798979, 757713, 728182, 339264, 339264, 2806241939
13, 3729853, 749425, 826816, 784776, 708794, 330021, 330021, 3784172752
3, 3729402, 839470, 738169, 697464, 796977, 328661, 328661, 2506033901
9, 3731824, 781059, 800581, 758496, 739808, 325940, 325940, 2193383466
7, 3730749, 802160, 774070, 732959, 760676, 330442, 330442, 1553855638
15, 3732278, 827521, 755113, 714583, 784917, 325072, 325072, 2721139762
2, 3729580, 775387, 796928, 755886, 734285, 333547, 333547, 3447181928
12, 3726024, 803715, 779258, 737609, 761542, 321950, 321950, 4247762038
1, 3731110, 797663, 774841, 734180, 756024, 334201, 334201, 2913493455
10, 3734706, 789997, 777814, 736932, 749279, 340342, 340342, 2465358384
18, 3735566, 793566, 791013, 749925, 752072, 324495, 324495, 215064182
21, 3732369, 754942, 829113, 786320, 714884, 323555, 323555, 2595486560
22, 3730911, 814587, 757781, 717705, 772546, 334146, 334146, 2618188077
23, 3740707, 782983, 788732, 747791, 742631, 339285, 339285, 1274423652
24, 3737109, 797380, 788706, 747258, 756373, 323696, 323696, 273113779
25, 3727289, 820967, 747423, 706861, 778356, 336841, 336841, 4269453523
27, 3731720, 798652, 765342, 725320, 757130, 342638, 342638, 3247668991
29, 3729083, 782960, 797724, 756450, 741889, 325030, 325030, 670933949
34, 3722793, 801414, 782719, 741376, 758930, 319177, 319177, 2188213440
33, 3732241, 803251, 772825, 731660, 761559, 331473, 331473, 1833242365
31, 3724343, 776934, 802432, 759806, 735321, 324925, 324925, 2935120484
0, 3730057, 787379, 782267, 741268, 745513, 336815, 336815, 2081511124
35, 3730718, 827724, 742911, 702515, 784976, 336296, 336296, 1709099137
37, 3733985, 775857, 795154, 753959, 734323, 337346, 337346, 824363483
36, 3733278, 789724, 788251, 747293, 747878, 330066, 330066, 1874851025
41, 3737453, 747394, 830386, 788681, 706524, 332234, 332234, 2824227731
39, 3726450, 793741, 767481, 726389, 751919, 343460, 343460, 2489788813
40, 3740053, 783657, 800531, 760533, 742634, 326349, 326349, 3861228341
42, 3737279, 834323, 744797, 705129, 792350, 330340, 330340, 2979313424
43, 3730091, 761557, 804971, 762705, 721568, 339645, 339645, 2663661468
45, 3736190, 770291, 803409, 762407, 729453, 335315, 335315, 2985212143
46, 3727471, 762427, 811719, 770014, 720867, 331222, 331222, 3475818116
48, 3734116, 804665, 779399, 738115, 762845, 324546, 324546, 1085912259
49, 3733239, 795006, 790029, 748533, 753993, 322839, 322839, 516432513
47, 3733554, 752426, 820849, 779687, 710448, 335072, 335072, 1767971854
50, 3726593, 778398, 798582, 756983, 736748, 327941, 327941, 4213852024
52, 3729463, 851551, 728667, 687776, 808395, 326537, 326537, 547696478
51, 3723382, 777333, 788063, 746459, 735399, 338064, 338064, 1810473073
20, 3726913, 794673, 772479, 731737, 753414, 337305, 337305, 2524051667
54, 3722682, 783436, 788905, 746944, 741445, 330976, 330976, 1827870456
19, 3729003, 820689, 756501, 716417, 778368, 328514, 328514, 2892342936
26, 3733283, 778343, 792702, 750134, 737678, 337213, 337213, 344357861
28, 3730960, 756940, 822822, 780617, 715533, 327524, 327524, 3293567277
57, 3732405, 776795, 802898, 761263, 735191, 328129, 328129, 3535326761
30, 3735039, 807715, 767458, 726451, 765813, 333801, 333801, 2940620845
32, 3728436, 794559, 770942, 730579, 753542, 339407, 339407, 919374143
