sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 2159730, 426154, 418686, 382076, 389304, 271755, 271755
1, 2158235, 424822, 426263, 389652, 387846, 264826, 264826
2, 2160357, 432177, 420225, 383237, 395008, 264855, 264855
3, 2164598, 422573, 431554, 394706, 385533, 265116, 265116
4, 2166979, 427293, 424843, 387537, 390160, 268573, 268573
5, 2161282, 429065, 425016, 387865, 391992, 263672, 263672
6, 2154387, 424549, 422984, 386514, 386796, 266772, 266772
7, 2153802, 420370, 425243, 388441, 383390, 268179, 268179
8, 2157706, 419224, 428678, 391583, 382603, 267809, 267809
9, 2167092, 428458, 427203, 390180, 391661, 264795, 264795
10, 2164062, 428620, 422506, 385791, 391819, 267663, 267663
11, 2161827, 426746, 426497, 389560, 389916, 264554, 264554
12, 2165240, 427407, 427317, 390639, 390755, 264561, 264561
13, 2154301, 424646, 424908, 388123, 387934, 264345, 264345
14, 2163377, 428453, 425771, 389042, 391239, 264436, 264436
15, 2159782, 425735, 424867, 387805, 388941, 266217, 266217
16, 2169181, 433167, 425303, 388647, 396156, 262954, 262954
17, 2160209, 425541, 429688, 392622, 388720, 261819, 261819
18, 2153290, 424788, 425069, 388476, 387711, 263623, 263623
19, 2163229, 430106, 423119, 386708, 392880, 265208, 265208
20, 2160419, 421803, 428154, 391134, 385480, 266924, 266924
21, 2161697, 422265, 427784, 391146, 385652, 267425, 267425
22, 2167186, 428769, 422557, 386102, 391452, 269153, 269153
23, 2163905, 420755, 428306, 390772, 384382, 269845, 269845
24, 2161528, 422190, 428406, 391421, 385609, 266951, 266951
25, 2162528, 425652, 423660, 387161, 388491, 268782, 268782
26, 2153224, 431481, 418429, 381617, 394181, 263758, 263758
27, 2161657, 419126, 431397, 394452, 382750, 266966, 266966
28, 2164214, 417988, 432870, 395708, 381722, 267963, 267963
29, 2154872, 435508, 415930, 379586, 397910, 262969, 262969
30, 2167522, 425968, 434060, 397410, 388960, 260562, 260562
31, 2169457, 420899, 433971, 396723, 384006, 266929, 266929
32, 2165025, 424454, 431969, 394748, 387132, 263361, 263361
33, 2160626, 429831, 419873, 383445, 392985, 267246, 267246
34, 2156474, 423508, 428122, 390905, 386977, 263481, 263481
35, 2160212, 425766, 425416, 388468, 388868, 265847, 265847
36, 2158493, 426168, 424290, 387380, 389205, 265725, 265725
37, 2160999, 424773, 419935, 383160, 387795, 272668, 272668
38, 2159145, 426378, 424700, 387661, 389644, 265381, 265381
39, 2157333, 430102, 421040, 384338, 393037, 264408, 264408
40, 2159133, 420227, 432159, 395018, 383943, 263893, 263893
41, 2160316, 425559, 426144, 388832, 388449, 265666, 265666
42, 2157515, 416937, 432481, 395158, 380409, 266265, 266265
43, 2156197, 422393, 426989, 390472, 385339, 265502, 265502
44, 2155726, 422408, 426765, 389305, 385964, 265642, 265642
45, 2158259, 428903, 430157, 393344, 391821, 257017, 257017
46, 2157137, 420272, 426967, 389707, 383961, 268115, 268115
47, 2161209, 423939, 426692, 388906, 387194, 267239, 267239
48, 2151463, 427762, 420502, 383860, 390559, 264390, 264390
49, 2158973, 426757, 427507, 390771, 389978, 261980, 261980
50, 2167520, 423530, 430458, 393526, 386614, 266696, 266696
51, 2153156, 428248, 420985, 383747, 391342, 264417, 264417
52, 2161026, 424530, 423339, 386352, 387695, 269555, 269555
53, 2158041, 427461, 422042, 385549, 390299, 266345, 266345
54, 2165843, 437529, 415966, 379725, 400053, 266285, 266285
55, 2157034, 420650, 426481, 389421, 383914, 268284, 268284
56, 2160868, 418927, 430418, 393324, 382473, 267863, 267863
57, 2162773, 427851, 425139, 388223, 390564, 265498, 265498
58, 2159771, 423753, 430167, 392956, 386525, 263185, 263185
59, 2168294, 432920, 422661, 385847, 396096, 265385, 265385
60, 2160858, 422225, 428851, 391759, 385681, 266171, 266171
61, 2157730, 428328, 418928, 382636, 391210, 268314, 268314
62, 2155622, 428006, 419394, 382928, 390930, 267182, 267182
63, 2157965, 424905, 422161, 386026, 388235, 268319, 268319
64, 2159304, 424146, 431854, 394487, 387381, 260718, 260718
65, 2157491, 425119, 419890, 382977, 388383, 270561, 270561
66, 2164228, 414468, 432916, 395858, 378458, 271264, 271264
67, 2160846, 427917, 424443, 387725, 391505, 264628, 264628
68, 2167355, 427072, 428533, 391245, 390223, 265141, 265141
69, 2166665, 430740, 426331, 389511, 393091, 263496, 263496
70, 2158149, 426523, 426097, 389070, 389619, 263420, 263420
71, 2164276, 431047, 420413, 383506, 393848, 267731, 267731
72, 2162969, 421489, 432792, 395567, 384655, 264233, 264233
73, 2164172, 424441, 428666, 391308, 387095, 266331, 266331
74, 2167394, 428090, 423565, 387094, 390937, 268854, 268854
75, 2169882, 423893, 433590, 396614, 387559, 264113, 264113
76, 2163346, 420695, 430696, 393755, 384044, 267078, 267078
77, 2158202, 425813, 424151, 387339, 388819, 266040, 266040
78, 2159962, 424875, 423113, 386515, 387963, 268748, 268748
79, 2165787, 429452, 419692, 382908, 392685, 270525, 270525
80, 2159224, 427095, 427049, 389827, 389659, 262797, 262797
81, 2159006, 430035, 422972, 386174, 392863, 263481, 263481
82, 2164913, 424965, 433460, 396242, 388260, 260993, 260993
83, 2156727, 419247, 429969, 392694, 382685, 266066, 266066
84, 2160973, 418457, 431993, 394948, 381921, 266827, 266827
85, 2166958, 424596, 430905, 393815, 388184, 264729, 264729
86, 2160834, 428345, 422411, 385368, 391348, 266681, 266681
87, 2165572, 429719, 424413, 387733, 392827, 265440, 265440
88, 2162849, 424329, 428018, 391132, 387550, 265910, 265910
89, 2164805, 428887, 422566, 385876, 392180, 267648, 267648
90, 2160780, 421354, 431551, 394365, 384398, 264556, 264556
91, 2162887, 429220, 425451, 388811, 392337, 263534, 263534
92, 2159521, 431207, 423903, 386858, 393885, 261834, 261834
93, 2164234, 425132, 428513, 391782, 388527, 265140, 265140
94, 2158956, 437627, 416075, 379627, 399991, 262818, 262818
95, 2164284, 436757, 417674, 381286, 399425, 264571, 264571
96, 2158826, 429187, 421421, 384577, 391697, 265972, 265972
97, 2159719, 428246, 420809, 384216, 391420, 267514, 267514
98, 2159694, 425392, 427423, 390446, 388933, 263750, 263750
99, 2164823, 424752, 426409, 389441, 387989, 268116, 268116
100, 2158477, 423558, 425615, 388514, 386686, 267052, 267052
101, 2159898, 425264, 425873, 388820, 389049, 265446, 265446
102, 2155198, 429449, 419371, 382617, 392381, 265690, 265690
103, 2155797, 423777, 425801, 388372, 386911, 265468, 265468
104, 2164426, 426384, 424954, 387970, 389566, 267776, 267776
105, 2162836, 431300, 422285, 385335, 394606, 264655, 264655
106, 2158744, 432579, 422434, 385691, 395678, 261181, 261181
107, 2159688, 421835, 427969, 391335, 385049, 266750, 266750
108, 2157800, 418844, 431311, 394264, 381813, 265784, 265784
109, 2165031, 428279, 424564, 388108, 391506, 266287, 266287
110, 2161247, 421117, 433376, 396479, 384801, 262737, 262737
111, 2155337, 433412, 417576, 380911, 395922, 263758, 263758
112, 2162253, 429132, 420165, 383876, 391976, 268552, 268552
113, 2158129, 414446, 435859, 398232, 378154, 265719, 265719
114, 2161053, 426042, 425138, 388266, 389059, 266274, 266274
115, 2157848, 424758, 423357, 386443, 388180, 267555, 267555
116, 2154592, 418799, 426563, 389895, 382409, 268463, 268463
117, 2163110, 420574, 427461, 390335, 384008, 270366, 270366
118, 2156545, 429114, 418732, 381818, 392293, 267294, 267294
119, 2158862, 423701, 426367, 389302, 386804, 266344, 266344
120, 2162542, 428243, 423951, 386872, 390966, 266255, 266255
121, 2166112, 428386, 425874, 389122, 391010, 265860, 265860
122, 2165193, 426201, 423912, 387247, 389389, 269222, 269222
123, 2159992, 426616, 429088, 391810, 389968, 261255, 261255
124, 2164661, 419074, 429005, 392217, 382665, 270850, 270850
125, 2169680, 427704, 431293, 394260, 390911, 262756, 262756
126, 2157751, 426173, 421634, 384827, 388925, 268096, 268096
127, 2155908, 429370, 422567, 386035, 392312, 262812, 262812
128, 2163750, 422313, 430104, 392816, 385947, 266285, 266285
129, 2157807, 425486, 428940, 391640, 388831, 261455, 261455
130, 2162969, 421227, 432131, 395077, 385116, 264709, 264709
131, 2159393, 425054, 425022, 388290, 388347, 266340, 266340
132, 2159480, 428055, 421984, 385160, 390583, 266849, 266849
133, 2162715, 420486, 432434, 395484, 383913, 265199, 265199
134, 2159404, 429923, 421745, 385700, 392908, 264564, 264564
135, 2160121, 432284, 414077, 377630, 395222, 270454, 270454
136, 2155535, 426003, 422761, 386270, 388927, 265787, 265787
137, 2152791, 421725, 425870, 388868, 384984, 265672, 265672
138, 2160364, 430858, 419610, 383117, 394143, 266318, 266318
139, 2154045, 423757, 422572, 385731, 386555, 267715, 267715
140, 2160349, 421164, 428047, 391024, 384144, 267985, 267985
141, 2165849, 428672, 424933, 388211, 392001, 266016, 266016
142, 2159630, 425310, 421423, 384360, 388659, 269939, 269939
143, 2157363, 425116, 426180, 388712, 387947, 264704, 264704
144, 2160529, 422721, 427542, 390710, 385920, 266818, 266818
145, 2165704, 437256, 418117, 382065, 400038, 264114, 264114
146, 2155872, 427688, 419094, 382692, 390300, 268049, 268049
147, 2164138, 427767, 423719, 387241, 390977, 267217, 267217
148, 2160616, 416241, 430747, 393259, 379743, 270313, 270313
149, 2160486, 425653, 424951, 388069, 388997, 266408, 266408
150, 2159680, 425801, 424202, 387412, 388443, 266911, 266911
