sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
4, 2056751, 446379, 438631, 423945, 431446, 158175, 158175, 4190911508
12, 2063570, 418038, 467981, 452024, 404105, 160711, 160711, 3494438752
1, 2062474, 477658, 405243, 390660, 462599, 163157, 163157, 431983120
0, 2068852, 463413, 432598, 418062, 448197, 153291, 153291, 1908173740
7, 2055299, 399405, 484222, 468428, 384874, 159185, 159185, 2373244998
14, 2059890, 442789, 443787, 428404, 427790, 158560, 158560, 3976154741
15, 2063568, 490352, 400574, 386205, 474971, 155733, 155733, 904790549
10, 2060583, 460062, 422341, 407469, 444541, 163085, 163085, 511128023
3, 2058741, 438310, 442884, 427942, 423723, 162941, 162941, 3535834882
6, 2068457, 455452, 443424, 429681, 440328, 149786, 149786, 2767109706
9, 2061868, 444139, 437395, 422779, 429569, 163993, 163993, 3549031711
5, 2059315, 474049, 413387, 398129, 458794, 157478, 157478, 3729793792
2, 2064512, 452100, 422398, 408002, 437116, 172448, 172448, 1080492513
13, 2059365, 465853, 424744, 408622, 450436, 154855, 154855, 3612458738
8, 2063516, 433027, 455885, 441327, 418725, 157276, 157276, 479662251
11, 2060547, 460953, 419423, 405015, 445486, 164835, 164835, 4006681039
21, 2056629, 441360, 449263, 434160, 426168, 152839, 152839, 113732723
20, 2054183, 502443, 378387, 363697, 486662, 161497, 161497, 2986618718
17, 2057325, 480191, 411247, 396208, 465097, 152291, 152291, 2131620407
18, 2062813, 430631, 451795, 437155, 415908, 163662, 163662, 1850141544
19, 2060878, 474354, 401915, 387518, 459491, 168800, 168800, 2725312954
23, 2058313, 489631, 395049, 381023, 473462, 159574, 159574, 1120675457
22, 2062289, 422029, 465203, 449966, 407101, 158995, 158995, 1776008609
24, 2067373, 445874, 443852, 429412, 431225, 158505, 158505, 3497561766
16, 2066689, 443582, 434409, 419675, 428565, 170229, 170229, 1258425269
25, 2061926, 473376, 410422, 396049, 457939, 162070, 162070, 3670154881
27, 2063339, 463367, 432837, 418090, 448159, 150443, 150443, 1293169671
29, 2054585, 429370, 455827, 440617, 414613, 157079, 157079, 868688630
31, 2056028, 435042, 451338, 436339, 420107, 156601, 156601, 2777869500
26, 2063689, 468947, 415622, 400661, 453617, 162421, 162421, 641388824
30, 2065203, 408351, 473387, 458249, 393988, 165614, 165614, 169095048
28, 2053050, 447258, 432082, 416559, 431643, 162754, 162754, 132684548
33, 2064751, 506836, 383303, 369762, 491230, 156810, 156810, 1351128494
32, 2061168, 466103, 422055, 407464, 451180, 157183, 157183, 1055355875
34, 2063113, 437341, 451552, 437123, 422291, 157403, 157403, 3728045838
38, 2052342, 475102, 398372, 383701, 459311, 167928, 167928, 2023472607
35, 2064900, 493861, 397889, 383837, 478141, 155586, 155586, 2529782995
39, 2056918, 453938, 433721, 418141, 439208, 155955, 155955, 3964910608
37, 2057754, 442712, 441526, 425978, 427352, 160093, 160093, 3224791902
36, 2057954, 461428, 435071, 420120, 445969, 147683, 147683, 2544355458
42, 2058726, 456125, 431165, 416729, 440349, 157179, 157179, 1096794676
40, 2056636, 443981, 441433, 426395, 429349, 157739, 157739, 344591084
45, 2057838, 406286, 463658, 448528, 391298, 174034, 174034, 2125987727
47, 2056531, 451588, 440313, 425389, 436005, 151618, 151618, 3026692515
43, 2057879, 459924, 430257, 415078, 445220, 153700, 153700, 950269145
41, 2067765, 467236, 425095, 410814, 452396, 156112, 156112, 2744884630
46, 2056732, 472329, 415470, 401242, 456989, 155351, 155351, 1502966634
44, 2060301, 413657, 470344, 456068, 398784, 160724, 160724, 1098328797
49, 2056820, 439872, 432674, 417020, 424882, 171186, 171186, 3964527460
48, 2056078, 408652, 469447, 454893, 393440, 164823, 164823, 409368301
50, 2056059, 474256, 415283, 400880, 458720, 153460, 153460, 1482868982
52, 2059367, 410568, 476143, 460990, 395804, 157931, 157931, 667500068
53, 2063771, 448295, 422983, 408244, 433793, 175228, 175228, 2580530849
54, 2060068, 454755, 429833, 414839, 439545, 160548, 160548, 3154898160
55, 2063118, 460619, 436566, 422089, 445634, 149105, 149105, 2288054347
59, 2060214, 475907, 406177, 392009, 461151, 162485, 162485, 3999663678
57, 2059696, 473078, 414754, 400126, 458238, 156750, 156750, 1355357270
63, 2054546, 453039, 433416, 418481, 437212, 156199, 156199, 2442613215
62, 2055826, 457512, 435456, 420711, 442403, 149872, 149872, 3058809536
51, 2061871, 413833, 470106, 455278, 399058, 161798, 161798, 1930184874
60, 2057323, 489838, 390534, 376755, 474572, 162812, 162812, 2796322721
56, 2059385, 460456, 421045, 406572, 445458, 162927, 162927, 1994434442
58, 2061824, 476787, 415148, 400519, 461670, 153850, 153850, 123960415
61, 2065120, 467923, 420817, 406396, 452986, 158499, 158499, 1954008853
64, 2059629, 464186, 421235, 406303, 449063, 159421, 159421, 141330387
65, 2066134, 448587, 445148, 430464, 434113, 153911, 153911, 649503428
69, 2058748, 465684, 420143, 405783, 450512, 158313, 158313, 2334278157
66, 2061436, 432055, 447863, 433083, 417711, 165362, 165362, 1132069222
67, 2062043, 404760, 474768, 459426, 390711, 166189, 166189, 3155665530
70, 2060905, 428567, 463626, 448475, 413911, 153163, 153163, 1890441166
68, 2058328, 442164, 446007, 430456, 427823, 155939, 155939, 452371105
72, 2059953, 417732, 468783, 453916, 403116, 158203, 158203, 4203358133
71, 2068216, 440387, 438797, 423685, 426065, 169641, 169641, 671168613
76, 2056408, 400438, 486305, 470325, 385866, 156737, 156737, 2465054975
79, 2061502, 498865, 393770, 379279, 483738, 152925, 152925, 896565688
78, 2066360, 481691, 397000, 382941, 465652, 169538, 169538, 4256325728
74, 2059305, 417208, 463244, 447078, 402553, 164611, 164611, 3681338195
73, 2055163, 397461, 491360, 475517, 382697, 154064, 154064, 1755652539
75, 2067504, 466846, 422172, 407728, 452524, 159117, 159117, 919550200
77, 2061164, 457419, 425247, 410455, 442709, 162667, 162667, 143914846
80, 2056101, 450628, 435192, 419936, 435623, 157361, 157361, 468365677
81, 2059853, 454728, 428673, 413897, 439419, 161568, 161568, 2667184841
82, 2060680, 426192, 457833, 442616, 411403, 161318, 161318, 1981114698
83, 2055262, 453898, 429306, 414534, 438948, 159288, 159288, 3371465933
84, 2063545, 459726, 432513, 417370, 444428, 154754, 154754, 3333351929
85, 2058769, 419199, 467477, 452408, 404237, 157724, 157724, 2134958410
87, 2063119, 453068, 438028, 423311, 438112, 155300, 155300, 2524420108
90, 2061729, 404905, 477045, 461860, 390643, 163638, 163638, 2244943225
86, 2059272, 448640, 437562, 423324, 434232, 157757, 157757, 1680695572
89, 2058026, 462412, 414588, 400001, 447485, 166770, 166770, 1258537577
91, 2056608, 473973, 415662, 401132, 459085, 153378, 153378, 2392075815
92, 2061333, 433965, 453242, 438351, 419613, 158081, 158081, 1174476452
88, 2059409, 448755, 440948, 426293, 433969, 154722, 154722, 1312157891
93, 2055262, 421286, 469343, 453496, 406777, 152180, 152180, 472290116
94, 2058315, 436732, 443520, 429251, 421914, 163449, 163449, 865768520
95, 2062977, 415309, 465253, 450079, 400572, 165882, 165882, 2138219670
96, 2058123, 473643, 402255, 387823, 458476, 167963, 167963, 2314417839
98, 2060609, 492890, 397160, 383290, 477411, 154929, 154929, 3687227860
97, 2062461, 451321, 435430, 420406, 437120, 159092, 159092, 3100171703
102, 2057766, 438157, 445704, 430743, 423350, 159906, 159906, 1973887378
100, 2068513, 448358, 444910, 429881, 433528, 155918, 155918, 2215308493
101, 2060686, 428541, 454988, 440498, 413153, 161753, 161753, 1770689977
99, 2062692, 464058, 425153, 410284, 449025, 157086, 157086, 799879416
103, 2059701, 451510, 431578, 416844, 436735, 161517, 161517, 94562606
105, 2059043, 401820, 489059, 473923, 387341, 153450, 153450, 1707039635
108, 2062066, 401773, 481050, 465493, 387658, 163046, 163046, 3358645771
109, 2058456, 455738, 433956, 419096, 440740, 154463, 154463, 4213242729
104, 2062401, 481781, 402214, 387982, 466790, 161817, 161817, 697141963
110, 2062498, 426058, 460777, 445415, 410966, 159641, 159641, 1590602197
106, 2059258, 424877, 467761, 452816, 410972, 151416, 151416, 4163968498
107, 2056831, 457379, 424432, 409336, 442610, 161537, 161537, 653367562
111, 2058002, 479635, 410419, 395763, 463975, 154105, 154105, 204079147
112, 2055628, 474149, 396682, 381929, 459668, 171600, 171600, 1836972482
114, 2057926, 475568, 411905, 397371, 460352, 156365, 156365, 3825348575
113, 2059960, 442161, 449012, 433939, 427294, 153777, 153777, 378654277
115, 2061298, 404264, 477075, 461636, 390435, 163944, 163944, 685121088
116, 2063080, 470788, 418158, 403217, 456001, 157458, 157458, 3465443339
117, 2062255, 397062, 497714, 482049, 382472, 151479, 151479, 1560107768
118, 2059905, 411484, 478655, 462411, 397417, 154969, 154969, 1293174403
119, 2059816, 406361, 473323, 458119, 391981, 165016, 165016, 3217273376
120, 2064369, 417807, 466592, 451635, 403287, 162524, 162524, 724845456
121, 2062267, 455694, 428410, 413671, 441228, 161632, 161632, 2706635767
123, 2061685, 479649, 387600, 373916, 464590, 177965, 177965, 1583038263
122, 2057260, 417508, 461915, 446643, 402602, 164296, 164296, 534272039
124, 2059285, 434959, 449703, 435170, 420433, 159510, 159510, 1455351209
126, 2064508, 420565, 476662, 460954, 406257, 150035, 150035, 3900099232
125, 2065829, 461574, 419043, 404885, 446355, 166986, 166986, 3185345143
128, 2060238, 434315, 454245, 439089, 419735, 156427, 156427, 1442090258
127, 2059365, 481285, 402104, 388235, 466305, 160718, 160718, 3960166458
130, 2056040, 437735, 439376, 423474, 423153, 166151, 166151, 1862882444
129, 2054305, 409046, 476896, 461457, 393878, 156514, 156514, 1144603240
131, 2061362, 458387, 437120, 421464, 443551, 150420, 150420, 1022039965
132, 2060275, 446002, 451565, 436985, 431041, 147341, 147341, 2310605044
133, 2063673, 500545, 379804, 365846, 484962, 166258, 166258, 3441430573
134, 2058731, 467181, 414475, 400160, 452299, 162308, 162308, 1565672149
136, 2054453, 442390, 431223, 416519, 427183, 168569, 168569, 2045877135
139, 2055801, 419100, 459018, 443314, 404401, 164984, 164984, 3334914564
135, 2062923, 428421, 451725, 436497, 414188, 166046, 166046, 1237634733
137, 2061468, 477743, 408149, 394173, 462443, 159480, 159480, 234766345
142, 2060635, 448621, 435652, 421205, 433481, 160838, 160838, 3769455526
138, 2065070, 430311, 453025, 438472, 415708, 163777, 163777, 2236181138
144, 2061329, 424963, 457154, 442609, 410471, 163066, 163066, 3273897647
141, 2062502, 458332, 430805, 416075, 443566, 156862, 156862, 1154940908
143, 2059884, 470674, 416398, 401551, 456033, 157614, 157614, 377874992
140, 2057407, 451729, 431655, 416726, 436595, 160351, 160351, 4255649527
145, 2062832, 506092, 388283, 373925, 490862, 151835, 151835, 1149029993
146, 2054256, 504132, 374785, 360249, 488260, 163415, 163415, 1425594813
147, 2061058, 470891, 413683, 399252, 456116, 160558, 160558, 1927264919
149, 2059510, 432309, 442949, 427209, 417815, 169614, 169614, 506267219
148, 2067148, 481744, 412278, 397855, 466501, 154385, 154385, 2001400439
150, 2059568, 439731, 443187, 428229, 424987, 161717, 161717, 58181210
151, 2059728, 402734, 482822, 467864, 388162, 159073, 159073, 3527395618
152, 2063558, 426447, 462608, 447769, 411490, 157622, 157622, 2422809602
154, 2061464, 468239, 418265, 403944, 453690, 158663, 158663, 4200962960
156, 2063631, 423506, 465876, 450939, 408982, 157164, 157164, 1610505858
153, 2064262, 433152, 453133, 438176, 418977, 160412, 160412, 1758485526
155, 2058312, 486264, 395016, 380361, 470895, 162888, 162888, 41777798
158, 2059415, 468433, 414744, 399614, 453834, 161395, 161395, 250105228
157, 2061206, 443563, 442724, 427819, 428452, 159324, 159324, 2009411310
160, 2062893, 454705, 437253, 422480, 439609, 154423, 154423, 1169830900
159, 2057368, 478721, 398828, 384345, 463014, 166230, 166230, 1425012026
162, 2060019, 465199, 414746, 400152, 449482, 165220, 165220, 3261597168
161, 2058301, 426131, 465498, 450357, 411327, 152494, 152494, 3793453834
163, 2060206, 463983, 424656, 410122, 448523, 156461, 156461, 3417102241
164, 2065137, 428586, 464898, 449466, 413881, 154153, 154153, 425461279
165, 2060334, 420994, 465912, 450469, 406021, 158469, 158469, 280413531
166, 2060018, 426389, 456385, 441026, 411424, 162397, 162397, 4033135504
167, 2058730, 433940, 453220, 437879, 418695, 157498, 157498, 909812280
168, 2064877, 393786, 488743, 473443, 379753, 164576, 164576, 4001025936
169, 2060602, 483396, 409545, 395633, 467988, 152020, 152020, 4234519230
171, 2062661, 420727, 460503, 445595, 406380, 164728, 164728, 630554206
174, 2059628, 402096, 481345, 465188, 387495, 161752, 161752, 4278313181
173, 2059790, 442459, 444559, 429475, 427205, 158046, 158046, 2374673260
170, 2065589, 403418, 473305, 458315, 389193, 170679, 170679, 3904917214
177, 2061063, 455190, 431407, 417259, 440205, 158501, 158501, 3741351182
172, 2052411, 402219, 487470, 471856, 387492, 151687, 151687, 3349054888
178, 2062138, 446029, 442844, 427574, 431151, 157270, 157270, 3162320080
176, 2058373, 460034, 424050, 409516, 444915, 159929, 159929, 773508356
175, 2065216, 488561, 400189, 385494, 473794, 158589, 158589, 4108045100
179, 2062373, 450336, 446368, 431845, 434876, 149474, 149474, 2016577403
181, 2060723, 404351, 477864, 462522, 390156, 162915, 162915, 3187462850
180, 2067037, 490740, 393899, 379845, 475227, 163663, 163663, 3347710717
182, 2059972, 486566, 401067, 386717, 470838, 157392, 157392, 4048061412
183, 2060501, 443130, 438914, 424258, 428215, 162992, 162992, 2057182123
184, 2061768, 480178, 401812, 387641, 464583, 163777, 163777, 3805145391
186, 2059213, 471231, 422823, 407646, 455665, 150924, 150924, 3074248509
185, 2059690, 430505, 457504, 442934, 415655, 156546, 156546, 2873271605
188, 2059763, 466447, 405572, 390894, 450750, 173050, 173050, 1431059407
190, 2057568, 482419, 403618, 388834, 466135, 158281, 158281, 2080261424
194, 2056931, 405354, 476617, 461224, 391046, 161345, 161345, 3832208891
189, 2060167, 411356, 476058, 461192, 397213, 157174, 157174, 4159072410
193, 2058642, 448284, 443133, 428186, 432849, 153095, 153095, 3091048834
191, 2058925, 472723, 414548, 399531, 457097, 157513, 157513, 2700135347
187, 2057644, 424306, 459180, 444323, 409913, 159961, 159961, 4221842717
192, 2063373, 440177, 451512, 436377, 425269, 155019, 155019, 1212376290
195, 2058442, 448846, 431438, 416633, 433695, 163915, 163915, 2499700790
196, 2062009, 399890, 482165, 466985, 385427, 163771, 163771, 3001382595
197, 2065784, 440450, 446646, 431870, 425836, 160491, 160491, 3722933600
198, 2065786, 399890, 484538, 469929, 385715, 162857, 162857, 1246035706
199, 2063504, 425097, 455681, 440175, 410303, 166124, 166124, 9970486
200, 2059852, 436733, 456326, 441506, 421821, 151733, 151733, 2719350617
201, 2063166, 438610, 452072, 437497, 423977, 155505, 155505, 714759897
202, 2060269, 445398, 436441, 421420, 430890, 163060, 163060, 1649770918
204, 2066778, 480397, 411959, 397406, 465384, 155816, 155816, 2525315566
203, 2059202, 458136, 428352, 413324, 442974, 158208, 158208, 735106039
205, 2058275, 443155, 443400, 428195, 428673, 157426, 157426, 2590198244
206, 2053236, 456970, 419633, 405025, 441912, 164848, 164848, 748060377
209, 2062094, 448212, 440708, 426128, 433062, 156992, 156992, 657373687
208, 2057378, 444169, 440615, 425322, 428924, 159174, 159174, 1702235813
207, 2070066, 453729, 430365, 415597, 439159, 165608, 165608, 2853961282
210, 2056844, 421625, 457967, 442588, 406838, 163913, 163913, 1400466268
211, 2058640, 431284, 459667, 444425, 416464, 153400, 153400, 3514810729
212, 2056309, 489854, 392221, 377984, 474238, 161006, 161006, 46591063
214, 2063922, 433547, 453772, 438485, 418654, 159732, 159732, 2566653514
213, 2060902, 446847, 448305, 432712, 432478, 150280, 150280, 1586381193
215, 2063251, 452282, 438458, 423868, 437227, 155708, 155708, 203310866
216, 2061173, 412601, 456076, 441553, 398051, 176446, 176446, 3041209178
217, 2059492, 453861, 434713, 419367, 438653, 156449, 156449, 3531645670
219, 2061467, 395402, 491141, 475342, 381062, 159260, 159260, 185610134
221, 2060977, 431629, 460019, 445501, 416572, 153628, 153628, 3494546209
218, 2063770, 424361, 461253, 445833, 409693, 161315, 161315, 1045535279
223, 2060368, 398146, 488561, 473098, 384205, 158179, 158179, 420445343
224, 2059606, 468077, 409686, 394699, 453050, 167047, 167047, 2769199597
225, 2051752, 421478, 448577, 433340, 406697, 170830, 170830, 4283561649
220, 2058068, 479234, 404221, 390032, 463529, 160526, 160526, 1216711996
227, 2063705, 386470, 501470, 485673, 372416, 158838, 158838, 4265972792
222, 2056089, 426554, 463257, 447838, 411586, 153427, 153427, 2106160678
226, 2064731, 467170, 426884, 412416, 452311, 152975, 152975, 2203891298
229, 2061242, 441807, 451896, 435907, 427404, 152114, 152114, 2622861007
228, 2064975, 428524, 463485, 448421, 414003, 155271, 155271, 2367851548
231, 2060970, 435598, 430407, 415780, 421121, 179032, 179032, 1934868304
230, 2055635, 469806, 404382, 389240, 454149, 169029, 169029, 568160367
232, 2059067, 461553, 416481, 402061, 446352, 166310, 166310, 1675821755
233, 2061509, 455293, 429858, 415240, 440214, 160452, 160452, 1199145060
234, 2057311, 413303, 472620, 457249, 398631, 157754, 157754, 151281004
236, 2062587, 490744, 391155, 376960, 475400, 164164, 164164, 3471296590
235, 2066898, 405891, 490840, 474855, 392180, 151566, 151566, 2049379469
237, 2064396, 457694, 427639, 413189, 443124, 161375, 161375, 1697290000
240, 2064326, 476008, 418753, 404400, 460899, 152133, 152133, 4225284288
238, 2058407, 458435, 424335, 409395, 443200, 161521, 161521, 2650323588
