sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
7, 5439691, 5284, 2670591, 2666999, 3975, 46421, 46421, 304,5337563,2802140838
6, 5438220, 5399, 2669694, 2667026, 4011, 46045, 46045, 186,5336691,1317431264
11, 5432220, 2667863, 5366, 3993, 2664934, 45032, 45032, 5332773,263,1105676633
4, 5431023, 5455, 2665891, 2663501, 4004, 46086, 46086, 177,5329369,2820901610
15, 5434349, 2668597, 5418, 4034, 2665000, 45650, 45650, 5333558,149,227745145
10, 5436640, 2669642, 5267, 3892, 2667477, 45181, 45181, 5337095,196,2214395163
0, 5444892, 2673613, 5266, 3863, 2670800, 45675, 45675, 5344400,146,1958933870
14, 5431005, 2664238, 5929, 4398, 2662070, 47185, 47185, 5326287,188,292855587
1, 5433263, 2666729, 5142, 3765, 2665043, 46292, 46292, 5331733,266,1583612168
5, 5439807, 5634, 2671820, 2668199, 4266, 44944, 44944, 271,5340004,1751243086
2, 5435589, 2669248, 4939, 3574, 2667324, 45252, 45252, 5336560,250,2217100606
17, 5436044, 5202, 2668365, 2666207, 3840, 46215, 46215, 153,5334546,2940969620
9, 5431787, 2666590, 4733, 3408, 2665018, 46019, 46019, 5331593,137,975397979
8, 5438718, 2669756, 4947, 3620, 2668033, 46181, 46181, 5337773,220,2114801883
20, 5430348, 5478, 2665447, 2662778, 4017, 46314, 46314, 174,5328207,542767101
3, 5431837, 2664944, 5371, 3942, 2663548, 47016, 47016, 5328470,100,3722530653
13, 5439766, 2670070, 5231, 3827, 2668518, 46060, 46060, 5338553,267,1083849241
24, 5438002, 4998, 2670201, 2668361, 3604, 45419, 45419, 151,5338526,1272777143
26, 5432915, 5057, 2668554, 2665646, 3746, 44956, 44956, 279,5334170,783408071
12, 5430910, 2664364, 5750, 4319, 2662511, 46983, 46983, 5326858,190,1053231682
23, 5428443, 2664552, 5506, 4099, 2661300, 46493, 46493, 5325826,368,3936164797
25, 5436268, 2668748, 5599, 4224, 2666103, 45797, 45797, 5334832,909,1869741871
22, 5432643, 2667379, 5293, 3945, 2664916, 45555, 45555, 5332265,259,2413491334
18, 5436194, 5644, 2668439, 2666882, 4241, 45494, 45494, 367,5335294,228784874
21, 5428935, 2664304, 5318, 3960, 2662325, 46514, 46514, 5326606,173,1729965433
28, 5435448, 2668297, 5950, 4479, 2664490, 46116, 46116, 5332753,219,401015313
30, 5447044, 5108, 2675757, 2672486, 3767, 44963, 44963, 155,5348217,1136340478
16, 5440431, 2670764, 5176, 3810, 2669219, 45731, 45731, 5339965,202,3417911835
27, 5427840, 2664239, 5297, 3928, 2662026, 46175, 46175, 5326242,242,2080328179
29, 5439720, 5295, 2670614, 2668690, 3863, 45629, 45629, 188,5339301,2688207045
34, 5436204, 5265, 2668908, 2666646, 3875, 45755, 45755, 234,5335539,483383041
19, 5437375, 2669648, 4982, 3640, 2667617, 45744, 45744, 5337242,202,829288107
33, 5437240, 2668381, 5709, 4251, 2666065, 46417, 46417, 5334414,248,167212084
36, 5438312, 2670153, 5765, 4281, 2667209, 45452, 45452, 5337348,242,3842111407
35, 5440976, 2670754, 5152, 3794, 2668978, 46149, 46149, 5339721,185,2925230456
32, 5443548, 5294, 2671546, 2670072, 3946, 46345, 46345, 202,5341594,3775199689
31, 5431175, 2665704, 5542, 4222, 2664075, 45816, 45816, 5329758,386,2928793655
40, 5442820, 5249, 2672278, 2670427, 3856, 45505, 45505, 198,5342684,2042528330
39, 5433388, 2667141, 5309, 3903, 2665231, 45902, 45902, 5332350,278,3839703443
44, 5428561, 5389, 2664583, 2662073, 4006, 46255, 46255, 165,5326627,494363594
43, 5434872, 5630, 2667218, 2665193, 4235, 46298, 46298, 574,5332395,2499250732
37, 5440240, 2671652, 5315, 3913, 2670152, 44604, 44604, 5341798,226,2609070386
45, 5434056, 5744, 2666331, 2663894, 4313, 46887, 46887, 497,5330202,2456421914
47, 5434991, 4655, 2669046, 2666892, 3372, 45513, 45513, 163,5335929,4189566281
52, 5436587, 4706, 2670086, 2666429, 3392, 45987, 45987, 274,5336509,866086198
41, 5442471, 2672730, 5204, 3824, 2670999, 44857, 44857, 5343729,172,480037203
38, 5439441, 4991, 2670397, 2668665, 3600, 45894, 45894, 132,5339044,578058076
48, 5443097, 2673613, 4565, 3325, 2671050, 45272, 45272, 5344651,231,2998606149
50, 5434225, 5450, 2668820, 2666469, 4022, 44732, 44732, 240,5335277,4134548297
42, 5436791, 5111, 2668933, 2666853, 3726, 46084, 46084, 176,5335771,3031314287
46, 5435867, 2667069, 5771, 4308, 2665085, 46817, 46817, 5332133,358,983962954
49, 5440645, 2671401, 5150, 3793, 2669313, 45494, 45494, 5340693,177,1637375663
