sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
8, 837920, 123157, 263812, 262612, 122161, 33089, 33089, 3054708155
10, 837070, 201170, 193476, 192426, 200034, 24982, 24982, 1347433263
7, 839241, 115472, 277742, 276522, 114499, 27503, 27503, 2809274419
2, 837986, 190685, 203181, 202127, 189563, 26215, 26215, 2824383040
4, 838872, 253687, 127629, 126621, 252465, 39235, 39235, 3626813749
9, 839069, 212192, 183737, 182639, 211247, 24627, 24627, 1658604868
1, 838178, 208370, 167019, 165898, 207259, 44816, 44816, 4076732164
6, 838145, 176339, 207153, 206069, 175348, 36618, 36618, 3168488698
0, 839750, 177556, 205111, 204140, 176533, 38205, 38205, 2243677332
11, 836880, 282628, 112761, 111768, 281391, 24166, 24166, 2920127636
3, 837707, 292083, 102914, 101953, 290723, 25017, 25017, 2024826904
5, 839054, 266411, 127043, 126025, 265371, 27102, 27102, 1419569873
13, 838839, 149546, 248064, 246861, 148426, 22971, 22971, 628520184
14, 837550, 255971, 137417, 136391, 254869, 26451, 26451, 2085590308
12, 838693, 167771, 223268, 222069, 166729, 29428, 29428, 1846059371
18, 836602, 71687, 322284, 321098, 70727, 25403, 25403, 1853618531
16, 838375, 116999, 242198, 241110, 116030, 61019, 61019, 2193192267
17, 836326, 218873, 164369, 163347, 217597, 36070, 36070, 3192445033
19, 837851, 245637, 150031, 149037, 244444, 24351, 24351, 3570508005
15, 838944, 171153, 222379, 221309, 170059, 27022, 27022, 2005344577
21, 837675, 188456, 206683, 205476, 187392, 24834, 24834, 508526452
22, 838103, 168144, 226326, 225220, 167123, 25645, 25645, 1189752971
20, 837094, 210893, 185982, 184839, 209856, 22762, 22762, 1372054323
23, 835336, 76650, 317928, 316524, 75726, 24254, 24254, 2711474730
24, 837638, 191516, 183782, 182666, 190382, 44646, 44646, 3662916409
26, 837608, 219443, 171549, 170445, 218279, 28946, 28946, 394124505
29, 837596, 175153, 219470, 218407, 174080, 25243, 25243, 2082503288
25, 838480, 146274, 246503, 245348, 145205, 27575, 27575, 3371450016
27, 838457, 197208, 193968, 192843, 196038, 29200, 29200, 1743357876
32, 837438, 144262, 234302, 233189, 143275, 41205, 41205, 1320498840
28, 837237, 291245, 106574, 105604, 290126, 21844, 21844, 1545650236
34, 838474, 159761, 232192, 231141, 158770, 28305, 28305, 1359313359
33, 838509, 244798, 149022, 147932, 243639, 26559, 26559, 1114592415
30, 838686, 129746, 243193, 242008, 128705, 47517, 47517, 331690065
31, 837115, 196093, 191358, 190209, 195039, 32208, 32208, 2240556103
35, 836451, 275898, 109921, 108946, 274610, 33538, 33538, 3635366083
36, 836435, 202924, 185997, 184925, 201703, 30443, 30443, 3535058065
42, 836030, 126740, 252157, 250850, 125691, 40296, 40296, 4010674587
37, 838767, 213556, 185131, 184016, 212372, 21846, 21846, 272411075
38, 836988, 174532, 203821, 202639, 173442, 41277, 41277, 3672991801
40, 837774, 180253, 216096, 214972, 179177, 23638, 23638, 853585635
39, 838047, 234666, 160414, 159374, 233511, 25041, 25041, 559348221
43, 836586, 150576, 244591, 243442, 149507, 24235, 24235, 1157106647
45, 835709, 153043, 231803, 230672, 151965, 34113, 34113, 2483866359
41, 837284, 295448, 92482, 91503, 294065, 31893, 31893, 1991876349
44, 837962, 208039, 179738, 178684, 206817, 32342, 32342, 2535929767
46, 837717, 175485, 218628, 217574, 174400, 25815, 25815, 1880938993
47, 836753, 244478, 131954, 130949, 243364, 43004, 43004, 1698101134
48, 838629, 163718, 222763, 221681, 162683, 33892, 33892, 288888008
51, 838749, 157810, 236575, 235381, 156747, 26118, 26118, 1474535420
52, 838194, 189770, 206612, 205571, 188723, 23759, 23759, 726408474
53, 836800, 229829, 149451, 148341, 228637, 40271, 40271, 1080042967
50, 839133, 198585, 184257, 183090, 197471, 37865, 37865, 3383126881
49, 838502, 203268, 177182, 176216, 202238, 39799, 39799, 4221875046
55, 837206, 228075, 168177, 166932, 226786, 23618, 23618, 197145891
57, 837155, 196471, 201026, 199932, 195332, 22197, 22197, 2044753937
54, 837569, 209226, 179865, 178721, 208229, 30764, 30764, 1367769408
56, 837067, 179376, 203325, 202249, 178203, 36957, 36957, 3996481414
59, 836875, 154584, 237364, 236156, 153521, 27625, 27625, 3368302327
60, 836298, 219765, 174503, 173353, 218753, 24962, 24962, 3776794976
58, 838260, 306525, 89551, 88645, 305059, 24240, 24240, 3640724888
63, 837759, 69010, 319021, 317856, 68076, 31898, 31898, 2995655401
61, 835264, 172316, 223589, 222484, 171115, 22880, 22880, 2074464401
64, 836410, 223520, 172198, 171069, 222387, 23618, 23618, 2337414872
65, 837331, 239802, 145613, 144551, 238795, 34285, 34285, 3998815512
67, 836586, 128634, 263748, 262462, 127610, 27066, 27066, 3284384431
66, 839889, 138605, 252970, 251918, 137476, 29460, 29460, 2141895698
62, 839001, 231461, 126452, 125459, 230349, 62640, 62640, 650129525
69, 837001, 233240, 162259, 161207, 232051, 24122, 24122, 3203310333
68, 839056, 167690, 229614, 228556, 166728, 23234, 23234, 2421677664
70, 837439, 219811, 148806, 147690, 218502, 51315, 51315, 3031944517
71, 838755, 143656, 253484, 252346, 142759, 23255, 23255, 1901024999
72, 837933, 271093, 119588, 118629, 269953, 29335, 29335, 915114121
74, 837158, 238622, 145733, 144671, 237576, 35278, 35278, 355791742
73, 836477, 208046, 173091, 172117, 206869, 38177, 38177, 529241197
76, 837146, 95176, 281715, 280361, 94234, 42830, 42830, 3136591085
75, 838551, 188395, 196446, 195403, 187199, 35554, 35554, 1221401860
77, 836822, 175838, 215367, 214209, 174692, 28358, 28358, 509641726
78, 836874, 218981, 176820, 175780, 217775, 23759, 23759, 2049173727
79, 838115, 177331, 212934, 211829, 176275, 29873, 29873, 602054993
80, 838066, 149461, 246521, 245484, 148420, 24090, 24090, 68305400
81, 837929, 109726, 282422, 281149, 108706, 27963, 27963, 300252829
82, 837677, 183565, 212689, 211611, 182450, 23681, 23681, 3670925906
88, 836883, 152540, 242415, 241212, 151458, 24629, 24629, 2626028947
85, 837464, 143136, 253062, 251897, 142151, 23609, 23609, 4244337285
89, 838262, 130633, 262002, 260770, 129545, 27656, 27656, 2335794264
84, 839282, 175600, 214131, 213058, 174469, 31012, 31012, 2875822734
86, 838453, 117426, 260255, 259238, 116488, 42523, 42523, 2807036761
83, 838143, 306296, 83180, 82274, 305135, 30629, 30629, 3648729715
87, 838352, 230333, 153230, 152240, 229151, 36699, 36699, 2193596558
90, 838854, 224802, 151891, 150879, 223716, 43783, 43783, 3746839453
92, 838102, 263160, 133319, 132222, 261929, 23736, 23736, 326001402
91, 838003, 249112, 136836, 135735, 247996, 34162, 34162, 2449940750
94, 838422, 127458, 264938, 263866, 126454, 27853, 27853, 779278766
93, 838032, 213657, 175100, 174113, 212504, 31329, 31329, 2455390963
96, 837300, 227069, 161189, 159973, 225901, 31584, 31584, 3383384616
99, 837701, 172305, 198884, 197752, 171326, 48717, 48717, 688748767
95, 836893, 178953, 206230, 205052, 177886, 34386, 34386, 477306226
98, 836442, 129831, 231003, 229820, 128874, 58457, 58457, 4195566747
97, 836963, 226457, 165337, 164206, 225301, 27831, 27831, 586725990
101, 836748, 216090, 162255, 161179, 214962, 41131, 41131, 3210273662
100, 838069, 160398, 232205, 231070, 159364, 27516, 27516, 1399986686
103, 836488, 282679, 101562, 100502, 281577, 35084, 35084, 3014681914
104, 837578, 274361, 121189, 120143, 273361, 24262, 24262, 901464043
102, 836837, 233604, 150863, 149832, 232452, 35043, 35043, 3368190827
106, 836206, 166864, 218169, 216910, 165789, 34237, 34237, 908867011
105, 839834, 149726, 240131, 239054, 148673, 31125, 31125, 2621033217
107, 838293, 267891, 120913, 119937, 266688, 31432, 31432, 1914226663
