sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
100, 1781642, 339618, 395125, 382315, 327348, 168618, 168618
101, 1778637, 367011, 353220, 340495, 354261, 181825, 181825
102, 1776005, 361453, 361320, 348808, 348700, 177862, 177862
103, 1779575, 371840, 349579, 337019, 358921, 181108, 181108
104, 1777767, 357245, 366986, 354245, 344433, 177429, 177429
105, 1776192, 375367, 358442, 345767, 362038, 167289, 167289
106, 1777756, 362433, 366562, 353651, 349426, 172842, 172842
107, 1774607, 355403, 376686, 363614, 342586, 168159, 168159
108, 1776330, 359986, 361740, 349115, 347191, 179149, 179149
109, 1774861, 361371, 365558, 352434, 348396, 173551, 173551
110, 1778823, 372301, 355507, 342829, 359362, 174412, 174412
111, 1780643, 367719, 360589, 347927, 354896, 174756, 174756
112, 1779516, 365746, 365825, 352880, 353157, 170954, 170954
113, 1780201, 366379, 364800, 352274, 353806, 171471, 171471
114, 1781560, 371294, 362765, 349968, 358489, 169522, 169522
115, 1776033, 361230, 358411, 345700, 348230, 181231, 181231
116, 1780019, 372610, 353617, 341200, 359814, 176389, 176389
117, 1778987, 368169, 355307, 342730, 355343, 178719, 178719
118, 1776771, 360100, 364633, 351536, 347348, 176577, 176577
119, 1781251, 353679, 374527, 361735, 341282, 175014, 175014
120, 1778313, 370183, 357759, 345255, 357234, 173941, 173941
121, 1777555, 372882, 348471, 335916, 359734, 180276, 180276
122, 1775516, 372634, 352793, 340244, 359597, 175124, 175124
123, 1777000, 346652, 375811, 362566, 334071, 178950, 178950
124, 1776843, 377265, 352154, 339349, 364183, 171946, 171946
125, 1779483, 358926, 367000, 354098, 346043, 176708, 176708
126, 1780760, 371333, 357282, 344397, 358582, 174583, 174583
127, 1781020, 376058, 358725, 346141, 363168, 168464, 168464
128, 1779740, 353096, 373236, 360490, 340232, 176343, 176343
129, 1774956, 358131, 373431, 360707, 345317, 168685, 168685
130, 1778330, 341326, 385039, 371813, 328948, 175602, 175602
131, 1778944, 350335, 367893, 355433, 337641, 183821, 183821
132, 1777589, 352435, 374113, 360941, 340086, 175007, 175007
133, 1782459, 372200, 356362, 343901, 359734, 175131, 175131
134, 1777120, 374449, 357000, 344229, 361532, 169955, 169955
135, 1779443, 359944, 368128, 355100, 347443, 174414, 174414
136, 1780297, 380956, 345156, 332835, 368122, 176614, 176614
