sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
0, 2689050, 554183, 548874, 515983, 521236, 274387, 274387
1, 2692109, 544426, 555954, 522906, 511635, 278594, 278594
2, 2695817, 556632, 540784, 508741, 523992, 282834, 282834
3, 2696775, 537292, 561205, 528603, 505081, 282297, 282297
4, 2688947, 553512, 538111, 505431, 520229, 285832, 285832
5, 2697094, 553362, 551795, 518965, 520502, 276235, 276235
6, 2692379, 549137, 546438, 513602, 516178, 283512, 283512
7, 2690777, 554195, 544871, 511990, 521167, 279277, 279277
8, 2693615, 543503, 555173, 522081, 510666, 281096, 281096
9, 2693834, 552785, 536901, 504691, 519799, 289829, 289829
10, 2688266, 535490, 559136, 525931, 502743, 282483, 282483
11, 2695024, 551243, 540127, 507692, 518400, 288781, 288781
12, 2690578, 544843, 550158, 517507, 511680, 283195, 283195
13, 2691886, 553278, 539773, 507433, 520002, 285700, 285700
14, 2693994, 548138, 547717, 515253, 515132, 283877, 283877
15, 2693450, 549760, 543598, 510706, 516978, 286204, 286204
16, 2693076, 556279, 542457, 509742, 522924, 280837, 280837
17, 2696431, 544089, 557659, 525011, 511092, 279290, 279290
18, 2689193, 540269, 555746, 523090, 507532, 281278, 281278
19, 2693833, 559533, 542160, 509438, 526220, 278241, 278241
20, 2688898, 550395, 543374, 510254, 517193, 283841, 283841
21, 2690258, 550356, 547286, 514248, 517222, 280573, 280573
22, 2694250, 548866, 549147, 516447, 515726, 282032, 282032
23, 2687663, 554127, 540017, 506514, 520943, 283031, 283031
24, 2686328, 549383, 546454, 513038, 516653, 280400, 280400
25, 2694239, 565658, 540478, 508040, 532547, 273758, 273758
26, 2690084, 540775, 553374, 519895, 508110, 283965, 283965
27, 2695251, 543311, 557822, 524251, 510865, 279501, 279501
28, 2693815, 544984, 546215, 513581, 512165, 288435, 288435
29, 2690733, 545316, 554910, 521984, 512331, 278096, 278096
30, 2691613, 546692, 540247, 507593, 514113, 291484, 291484
31, 2693659, 556271, 534185, 501655, 523348, 289100, 289100
32, 2689807, 545226, 550256, 516892, 512783, 282325, 282325
33, 2689527, 555889, 548929, 515499, 522900, 273155, 273155
34, 2693047, 548217, 543887, 511443, 515138, 287181, 287181
35, 2692595, 541238, 561333, 527922, 508440, 276831, 276831
36, 2689892, 539106, 557297, 524013, 506094, 281691, 281691
37, 2687964, 560099, 531706, 498627, 527152, 285190, 285190
38, 2694209, 558046, 537012, 504316, 525161, 284837, 284837
39, 2690321, 563027, 540360, 507316, 529506, 275056, 275056
40, 2692755, 539548, 555912, 522760, 506949, 283793, 283793
41, 2694239, 551609, 548593, 516152, 518707, 279589, 279589
42, 2695125, 562891, 533831, 501485, 529766, 283576, 283576
43, 2688916, 552395, 544559, 511762, 518982, 280609, 280609
44, 2690371, 544132, 560085, 526611, 511123, 274210, 274210
45, 2693460, 543427, 543150, 510459, 510458, 292983, 292983
46, 2696145, 555572, 542922, 510041, 522720, 282445, 282445
47, 2689261, 540975, 554758, 521382, 508254, 281946, 281946
48, 2689348, 550702, 541039, 508648, 517589, 285685, 285685
49, 2693758, 557885, 534451, 502236, 525252, 286967, 286967
50, 2693602, 548662, 546214, 513338, 516120, 284634, 284634
51, 2689609, 538274, 551167, 518191, 505421, 288278, 288278
52, 2691868, 543902, 555407, 522251, 511110, 279599, 279599
53, 2693583, 541588, 565052, 531622, 509169, 273076, 273076
54, 2693729, 559239, 543486, 510632, 526086, 277143, 277143
55, 2693709, 549467, 545797, 512974, 516659, 284406, 284406
56, 2691229, 544873, 547784, 514924, 512526, 285561, 285561
57, 2695974, 549524, 546392, 513502, 516852, 284852, 284852
58, 2695942, 547171, 548998, 516099, 514740, 284467, 284467
59, 2695380, 545353, 558904, 526072, 512613, 276219, 276219
60, 2689128, 540888, 552135, 518770, 508503, 284416, 284416
61, 2692556, 538952, 551244, 518244, 506382, 288867, 288867
62, 2690200, 547153, 552039, 518895, 514467, 278823, 278823
63, 2693617, 542051, 545609, 512694, 509265, 291999, 291999
64, 2693967, 557455, 544961, 512439, 524078, 277517, 277517
65, 2692841, 554386, 544310, 511432, 521375, 280669, 280669
66, 2694626, 549975, 542928, 510037, 517214, 287236, 287236
67, 2692526, 559448, 543256, 510473, 526179, 276585, 276585
68, 2690427, 549355, 547011, 513484, 516821, 281878, 281878
69, 2691639, 553229, 547674, 515038, 519712, 277993, 277993
70, 2690942, 551758, 543803, 510777, 518948, 282828, 282828
71, 2689553, 553532, 539873, 507891, 520297, 283980, 283980
72, 2691186, 533031, 567976, 534394, 500401, 277692, 277692
73, 2689923, 542855, 563326, 529860, 509952, 271965, 271965
74, 2689210, 548659, 547320, 514106, 515411, 281857, 281857
75, 2691284, 543131, 545455, 512657, 509997, 290022, 290022
76, 2692394, 552377, 558989, 525689, 519331, 268004, 268004
77, 2694456, 544185, 555423, 522783, 511393, 280336, 280336
78, 2696957, 556608, 551820, 518936, 523723, 272935, 272935
79, 2690848, 544216, 552808, 519877, 511351, 281298, 281298
80, 2690228, 551484, 546202, 513224, 518086, 280616, 280616
81, 2689126, 555500, 539937, 507346, 522075, 282134, 282134
82, 2689882, 535178, 556739, 523707, 502598, 285830, 285830
83, 2691556, 550003, 537637, 504957, 516901, 291029, 291029
84, 2688492, 541237, 557929, 524268, 507966, 278546, 278546
85, 2689176, 557073, 546619, 513302, 523888, 274147, 274147
86, 2696051, 546181, 548912, 516400, 513308, 285625, 285625
87, 2693790, 544516, 554383, 521728, 511817, 280673, 280673
88, 2693476, 539967, 553743, 520651, 507501, 285807, 285807
89, 2692716, 557460, 539832, 506937, 524629, 281929, 281929
90, 2688384, 536396, 555901, 522819, 503308, 284980, 284980
91, 2691012, 565263, 531575, 498887, 532059, 281614, 281614
92, 2689880, 570585, 533120, 500041, 536788, 274673, 274673
93, 2695384, 549600, 552084, 519438, 516626, 278818, 278818
94, 2694336, 563666, 535463, 502952, 530421, 280917, 280917
95, 2695666, 560600, 535424, 502775, 527781, 284543, 284543
96, 2690523, 541162, 553793, 520690, 508700, 283089, 283089
97, 2697445, 554263, 547900, 515112, 521146, 279512, 279512
98, 2696689, 559710, 537518, 504816, 527009, 283818, 283818
99, 2692472, 547415, 550450, 517512, 514891, 281102, 281102
100, 2691834, 553972, 546882, 513288, 521178, 278257, 278257
101, 2692816, 551793, 549320, 516855, 518530, 278159, 278159
102, 2694366, 550755, 557569, 524554, 517822, 271833, 271833
103, 2697172, 540899, 550323, 517855, 508241, 289927, 289927
104, 2692767, 557008, 537419, 504267, 523849, 285112, 285112
105, 2692472, 544840, 557521, 523981, 511970, 277080, 277080
106, 2697054, 556609, 541132, 508856, 523511, 283473, 283473
107, 2692492, 542979, 548576, 515799, 510346, 287396, 287396
108, 2688015, 548861, 548435, 515309, 515956, 279727, 279727
109, 2692339, 547828, 548762, 516339, 515110, 282150, 282150
110, 2689634, 543240, 553646, 520497, 510191, 281030, 281030
111, 2692656, 555672, 547574, 514578, 522626, 276103, 276103
112, 2692882, 551890, 551125, 518219, 518956, 276346, 276346
113, 2691561, 545213, 547139, 514196, 511803, 286605, 286605
114, 2691201, 555744, 544332, 511357, 522724, 278522, 278522
115, 2690798, 548647, 537047, 504491, 515711, 292451, 292451
116, 2689670, 554535, 542539, 509573, 521519, 280752, 280752
117, 2693873, 550300, 551125, 518349, 517509, 278295, 278295
118, 2695276, 533504, 561105, 528118, 500793, 285878, 285878
119, 2694473, 546754, 554664, 521525, 514150, 278690, 278690
120, 2693132, 542352, 547335, 514455, 509780, 289605, 289605
121, 2692736, 529677, 569368, 535507, 497124, 280530, 280530
122, 2696088, 545978, 558385, 525746, 512911, 276534, 276534
123, 2691220, 524083, 576990, 543024, 491415, 277854, 277854
124, 2694236, 555838, 541989, 509194, 522441, 282387, 282387
125, 2692471, 556886, 545631, 512760, 524184, 276505, 276505
126, 2691407, 543118, 558500, 525285, 510152, 277176, 277176
127, 2692902, 550331, 544509, 511768, 517160, 284567, 284567
128, 2695525, 553970, 538607, 506138, 521098, 287856, 287856
129, 2689693, 547715, 543802, 510987, 514631, 286279, 286279
130, 2695724, 534381, 568949, 535585, 501933, 277438, 277438
131, 2692850, 562147, 537226, 504262, 528843, 280186, 280186
132, 2692843, 545112, 538763, 506297, 512307, 295182, 295182
133, 2696981, 551819, 552831, 520388, 519109, 276417, 276417
134, 2692408, 555224, 540209, 507557, 522428, 283495, 283495
135, 2691671, 548376, 554081, 521195, 515407, 276306, 276306
136, 2692620, 557700, 544739, 511833, 524524, 276912, 276912
137, 2694832, 556363, 551429, 518347, 523659, 272517, 272517
138, 2691145, 560300, 540734, 508174, 526905, 277516, 277516
139, 2688638, 560014, 533970, 500975, 526867, 283406, 283406
140, 2695485, 544821, 561284, 528370, 511784, 274613, 274613
141, 2692133, 541378, 551827, 518988, 508310, 285815, 285815
142, 2688004, 542334, 541591, 508627, 509198, 293127, 293127
143, 2694055, 549713, 548450, 515549, 516557, 281893, 281893
144, 2688999, 552192, 541434, 508618, 519361, 283697, 283697
145, 2690511, 543975, 560184, 526991, 511271, 274045, 274045
146, 2692267, 556124, 543152, 510711, 522960, 279660, 279660
147, 2690259, 555473, 550664, 517504, 522338, 272140, 272140
148, 2692953, 559463, 537761, 505242, 526489, 281999, 281999
149, 2692229, 552867, 543529, 510642, 519857, 282667, 282667
150, 2693109, 547276, 550547, 517144, 514552, 281795, 281795
151, 2695298, 546274, 549525, 516834, 513823, 284421, 284421
152, 2691773, 541230, 543551, 510585, 508491, 293958, 293958
153, 2693308, 562606, 535441, 502972, 529435, 281427, 281427
154, 2685891, 551774, 542976, 510021, 517938, 281591, 281591
155, 2690938, 554236, 549020, 515786, 521968, 274964, 274964
156, 2691156, 548579, 552790, 519591, 516266, 276965, 276965
157, 2691385, 540288, 553473, 520689, 507459, 284738, 284738
158, 2689395, 537905, 556991, 523786, 505687, 282513, 282513
159, 2694344, 555914, 537510, 504835, 522991, 286547, 286547
160, 2690225, 543467, 550830, 518192, 510264, 283736, 283736
161, 2691450, 544633, 554757, 522013, 511923, 279062, 279062
162, 2689162, 569302, 530155, 498009, 535566, 278065, 278065
163, 2694818, 548604, 549029, 516341, 515760, 282542, 282542
164, 2689352, 554625, 541193, 508344, 520932, 282129, 282129
165, 2693992, 549427, 545089, 512244, 516268, 285482, 285482
166, 2688678, 555250, 539690, 506826, 521792, 282560, 282560
167, 2689455, 557857, 540594, 507952, 524716, 279168, 279168
168, 2691420, 550007, 542112, 509410, 516753, 286569, 286569
169, 2696494, 563502, 534170, 501587, 530613, 283311, 283311
170, 2691644, 551087, 540886, 508492, 517827, 286676, 286676
171, 2694571, 543716, 560261, 527499, 510957, 276069, 276069
172, 2692372, 542309, 561966, 528936, 509325, 274918, 274918
173, 2693906, 546168, 555567, 523027, 513620, 277762, 277762
174, 2691650, 547019, 556377, 523339, 514117, 275399, 275399
175, 2689425, 547884, 545257, 512327, 515029, 284464, 284464
176, 2691342, 550280, 548435, 515565, 516888, 280087, 280087
177, 2693140, 543573, 556887, 523666, 510786, 279114, 279114
178, 2692583, 549838, 537179, 504623, 517449, 291747, 291747
179, 2694557, 547283, 550203, 517511, 514682, 282439, 282439
180, 2692820, 536620, 561777, 528514, 504151, 280879, 280879
181, 2692539, 535454, 558487, 525283, 502677, 285319, 285319
182, 2693888, 550710, 550310, 517217, 518057, 278797, 278797
183, 2687705, 550832, 545124, 512041, 517646, 281031, 281031
184, 2692871, 542649, 557181, 524358, 510163, 279260, 279260
185, 2691283, 549958, 547483, 514621, 517285, 280968, 280968
186, 2696451, 528780, 566894, 533902, 496815, 285030, 285030
187, 2689749, 542744, 547710, 514610, 509797, 287444, 287444
188, 2695582, 544853, 548683, 516038, 512446, 286781, 286781
189, 2693760, 543859, 554553, 521417, 511137, 281397, 281397
190, 2695538, 562129, 545850, 513339, 528996, 272612, 272612
191, 2691418, 528133, 568873, 535280, 495822, 281655, 281655
192, 2693861, 554612, 546103, 513563, 521685, 278949, 278949
193, 2693291, 537132, 559575, 526432, 504846, 282653, 282653
194, 2693940, 540220, 549987, 517209, 507848, 289338, 289338
195, 2690425, 544355, 546340, 513254, 511440, 287518, 287518
196, 2691695, 539265, 554715, 521361, 506776, 284789, 284789
197, 2693338, 525505, 574241, 540864, 493166, 279781, 279781
198, 2693496, 536696, 556428, 523494, 504288, 286295, 286295
199, 2693980, 546754, 552646, 519270, 513948, 280681, 280681
200, 2691934, 552046, 544335, 511613, 519174, 282383, 282383
201, 2695093, 543695, 552384, 519571, 510895, 284274, 284274
202, 2695104, 551551, 547095, 514822, 518990, 281323, 281323
203, 2691404, 544622, 546552, 513641, 511461, 287564, 287564
204, 2694038, 541032, 556341, 522972, 508253, 282720, 282720
205, 2693973, 554569, 537027, 504232, 521819, 288163, 288163
206, 2693199, 558338, 534775, 502363, 525279, 286222, 286222
207, 2694904, 546566, 552773, 519814, 513965, 280893, 280893
208, 2696033, 540614, 555600, 522706, 508383, 284365, 284365
209, 2694028, 551477, 551719, 518956, 518744, 276566, 276566
210, 2695470, 553985, 545300, 512679, 520828, 281339, 281339
211, 2693504, 559321, 538706, 506486, 525463, 281764, 281764
212, 2692919, 552306, 538805, 506403, 519303, 288051, 288051
213, 2702253, 544656, 555026, 522575, 512724, 283636, 283636
214, 2694985, 553743, 542944, 510808, 521004, 283243, 283243
215, 2690833, 543426, 549025, 516250, 510570, 285781, 285781
216, 2691809, 543258, 550113, 517500, 510578, 285180, 285180
217, 2690992, 548263, 548186, 515414, 515553, 281788, 281788
218, 2693557, 551240, 544608, 511959, 518272, 283739, 283739
219, 2689444, 546185, 546052, 513006, 513391, 285405, 285405
220, 2693835, 551266, 548297, 515737, 518367, 280084, 280084
221, 2693661, 553723, 546326, 513291, 520617, 279852, 279852
222, 2693540, 544679, 555944, 522935, 511830, 279076, 279076
223, 2690422, 556218, 535726, 503153, 522839, 286243, 286243
224, 2691343, 555557, 543397, 510562, 522103, 279862, 279862
225, 2693990, 542676, 552721, 519698, 509985, 284455, 284455
226, 2696494, 544203, 549074, 516037, 511654, 287763, 287763
227, 2698240, 536584, 556737, 523745, 504006, 288584, 288584
228, 2693414, 550744, 546308, 513999, 517409, 282477, 282477
229, 2689558, 561466, 533108, 500369, 528045, 283285, 283285
230, 2692540, 557098, 543662, 510739, 524257, 278392, 278392
