sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 2662054, 544091, 538775, 514744, 520194, 272125, 272125
1, 2665234, 534394, 546009, 521751, 510512, 276284, 276284
2, 2668638, 546483, 530672, 507491, 522718, 280637, 280637
3, 2670005, 527284, 551241, 527348, 503956, 280088, 280088
4, 2662027, 543248, 528039, 504262, 519000, 283739, 283739
5, 2670369, 543348, 541674, 517757, 519296, 274147, 274147
6, 2666048, 539244, 536394, 512486, 515126, 281399, 281399
7, 2663728, 544145, 534756, 510812, 519973, 277021, 277021
8, 2666628, 533505, 544974, 520865, 509524, 278880, 278880
9, 2666864, 542676, 526929, 503462, 518585, 287606, 287606
10, 2661503, 525171, 549221, 524860, 501533, 280359, 280359
11, 2667951, 541064, 530125, 506571, 517235, 286478, 286478
12, 2663360, 534587, 540098, 516238, 510485, 280976, 280976
13, 2664883, 543017, 529672, 506332, 518762, 283550, 283550
14, 2666635, 537933, 537617, 514076, 513903, 281553, 281553
15, 2665923, 539571, 533273, 509379, 515782, 283959, 283959
16, 2666097, 546046, 532225, 508485, 521737, 278802, 278802
17, 2669619, 533912, 547730, 523935, 509916, 277063, 277063
18, 2662421, 530359, 545684, 521861, 506477, 279020, 279020
19, 2666736, 549309, 532111, 508284, 525030, 276001, 276001
20, 2660305, 540000, 532924, 508837, 515790, 281377, 281377
21, 2662947, 540224, 537009, 512963, 516015, 278368, 278368
22, 2667312, 538736, 539078, 515185, 514513, 279900, 279900
23, 2660087, 543997, 529650, 505277, 519813, 280675, 280675
24, 2658863, 539254, 536062, 511668, 515457, 278211, 278211
25, 2667291, 555289, 530528, 507030, 531308, 271568, 271568
26, 2662652, 530715, 542965, 518535, 507001, 281718, 281718
27, 2668195, 533249, 547411, 523033, 509746, 277378, 277378
28, 2667307, 534853, 536242, 512517, 511089, 286303, 286303
29, 2663456, 535075, 544810, 520771, 511120, 275840, 275840
30, 2665063, 536907, 530153, 506385, 513066, 289276, 289276
31, 2666308, 546089, 523969, 500382, 522016, 286926, 286926
32, 2661995, 534998, 539758, 515625, 511452, 280081, 280081
33, 2662269, 545701, 538625, 514320, 521675, 270974, 270974
34, 2666548, 538470, 533710, 510210, 514080, 285039, 285039
35, 2665606, 530962, 551241, 526792, 507311, 274650, 274650
36, 2662856, 528919, 547112, 522796, 504837, 279596, 279596
37, 2661021, 549969, 521499, 497431, 525936, 283093, 283093
38, 2666954, 547900, 526830, 502958, 523946, 282660, 282660
39, 2663552, 552921, 530253, 506252, 528332, 272897, 272897
40, 2665184, 529307, 545631, 521502, 505722, 281511, 281511
41, 2667378, 541396, 538588, 514920, 517506, 277484, 277484
42, 2668364, 552885, 523678, 500202, 528695, 281452, 281452
43, 2660801, 541866, 534246, 510521, 517626, 278271, 278271
44, 2663332, 533921, 549889, 525485, 509967, 272035, 272035
45, 2666113, 533070, 532945, 509262, 509184, 290826, 290826
46, 2669342, 545586, 532713, 508742, 521641, 280330, 280330
47, 2661346, 530699, 544402, 519983, 506976, 279643, 279643
48, 2662886, 540763, 531192, 507509, 516532, 283445, 283445
49, 2666925, 547701, 524379, 501074, 523949, 284911, 284911
50, 2666938, 538528, 536235, 512247, 514794, 282567, 282567
51, 2662871, 528175, 541151, 517083, 504252, 286105, 286105
52, 2664920, 533874, 545149, 521076, 509993, 277414, 277414
53, 2666914, 531588, 554847, 530410, 508147, 270961, 270961
54, 2667079, 549063, 533667, 509527, 524870, 274976, 274976
55, 2666730, 539400, 535586, 511633, 515515, 282298, 282298
56, 2664360, 535000, 537451, 513646, 511455, 283404, 283404
57, 2669256, 539335, 536295, 512411, 515601, 282807, 282807
58, 2669797, 537409, 539169, 515011, 513684, 282262, 282262
59, 2668784, 535271, 548875, 524915, 511379, 274172, 274172
60, 2662213, 531007, 541900, 517518, 507406, 282191, 282191
61, 2665250, 528808, 541146, 517127, 505207, 286481, 286481
