sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
13, 5740943, 2171, 2840256, 2837673, 1475, 29684, 29684, 57,5677906,2991470081
7, 5744626, 2082, 2841899, 2839604, 1455, 29793, 29793, 81,5681500,1902035418
6, 5742903, 2543, 2840412, 2838863, 1797, 29644, 29644, 115,5679272,2549144951
3, 5747507, 2057, 2843484, 2841821, 1401, 29372, 29372, 56,5685292,4286663865
0, 5740558, 2319, 2838449, 2837273, 1601, 30458, 30458, 44,5675719,3491892578
2, 5746381, 2128, 2842540, 2841123, 1426, 29582, 29582, 45,5683654,177522847
11, 5748222, 2843697, 2417, 1661, 2842017, 29215, 29215, 5685703,70,1165246547
10, 5747086, 1981, 2843535, 2841679, 1325, 29283, 29283, 72,5685211,2246716480
1, 5748341, 2252, 2843058, 2841791, 1548, 29846, 29846, 72,5684846,379532367
15, 5749926, 2844980, 2417, 1717, 2842698, 29057, 29057, 5687670,87,730708730
8, 5749716, 2464, 2843031, 2842074, 1737, 30205, 30205, 94,5685088,461629519
12, 5748270, 2843252, 2141, 1472, 2842087, 29659, 29659, 5685336,63,1765455253
16, 5750796, 2117, 2845975, 2843462, 1432, 28905, 28905, 65,5689434,702736770
5, 5742853, 2184, 2840270, 2839442, 1511, 29723, 29723, 68,5679709,2121647962
18, 5750076, 2226, 2844380, 2842585, 1555, 29665, 29665, 124,5686951,3989705166
23, 5738578, 2346, 2839170, 2836361, 1637, 29532, 29532, 103,5675518,4037172051
19, 5751432, 2212, 2845442, 2843603, 1531, 29322, 29322, 81,5689028,1327005173
4, 5745772, 2218, 2842824, 2841060, 1572, 29049, 29049, 261,5683881,129110596
9, 5749002, 2843292, 2515, 1786, 2841519, 29945, 29945, 5684802,113,3195606963
14, 5744126, 2842360, 2172, 1516, 2838642, 29718, 29718, 5680989,85,3433111162
24, 5746159, 2468, 2842514, 2840766, 1775, 29318, 29318, 347,5683277,217500717
17, 5746672, 2843329, 2225, 1535, 2841611, 28986, 28986, 5684925,67,768321598
20, 5750303, 2360, 2843917, 2842594, 1648, 29892, 29892, 66,5686505,3341664955
