sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 1471537, 289945, 292417, 270109, 267916, 175575, 175575
1, 1470342, 298243, 285143, 263497, 275971, 173744, 173744
2, 1472618, 300736, 281898, 259860, 278466, 175829, 175829
3, 1467448, 289887, 291229, 268955, 267805, 174786, 174786
4, 1473706, 284107, 293548, 271247, 262204, 181300, 181300
5, 1477833, 294194, 288411, 266233, 272403, 178296, 178296
6, 1478227, 295631, 290585, 268425, 273524, 175031, 175031
7, 1475677, 293694, 295013, 272691, 271531, 171374, 171374
8, 1475840, 284943, 296599, 274467, 263155, 178338, 178338
9, 1472179, 285360, 296847, 274246, 263354, 176186, 176186
10, 1472857, 290586, 292998, 270839, 268684, 174875, 174875
11, 1477330, 293208, 290030, 267905, 271423, 177382, 177382
12, 1469688, 287853, 297707, 275327, 265721, 171540, 171540
13, 1474306, 287851, 293210, 271171, 265950, 178062, 178062
14, 1477415, 282061, 299706, 277387, 260555, 178853, 178853
15, 1473198, 287573, 295399, 272982, 265588, 175828, 175828
16, 1474421, 291762, 292612, 270472, 269515, 175030, 175030
17, 1468594, 293105, 288384, 266398, 270881, 174913, 174913
18, 1474675, 294936, 290122, 268236, 272877, 174252, 174252
19, 1474428, 290080, 290806, 268771, 267987, 178392, 178392
20, 1469815, 288768, 290313, 268522, 266992, 177610, 177610
21, 1473012, 289428, 293556, 271471, 267321, 175618, 175618
22, 1467823, 290985, 291395, 269325, 268212, 173953, 173953
23, 1474953, 284901, 298153, 275683, 263188, 176514, 176514
24, 1471585, 291840, 289991, 268224, 269564, 175983, 175983
25, 1478958, 298222, 287893, 266029, 275872, 175471, 175471
26, 1470109, 280962, 302079, 279804, 259076, 174094, 174094
27, 1471047, 292609, 288618, 266705, 270259, 176428, 176428
28, 1468834, 291988, 289638, 267611, 269753, 174922, 174922
29, 1467453, 291479, 284273, 261880, 269185, 180318, 180318
30, 1472267, 288363, 298359, 276113, 266202, 171615, 171615
31, 1473304, 290028, 288649, 266338, 268163, 180063, 180063
32, 1470709, 296517, 285487, 263387, 274096, 175611, 175611
33, 1477463, 292993, 290133, 268035, 270658, 177822, 177822
34, 1470709, 296045, 287461, 265382, 273659, 174081, 174081
35, 1473279, 289749, 295072, 272837, 267903, 173859, 173859
36, 1471615, 291309, 290404, 268318, 269416, 176084, 176084
37, 1474220, 295637, 288314, 266297, 273200, 175386, 175386
38, 1469164, 291148, 290420, 268466, 269288, 174921, 174921
39, 1469362, 285463, 296850, 274647, 263516, 174443, 174443
40, 1475942, 291848, 287807, 265880, 269881, 180263, 180263
41, 1471520, 300415, 283467, 261810, 277658, 174085, 174085
42, 1474982, 298066, 286423, 264699, 275816, 174989, 174989
43, 1472647, 284285, 290859, 268770, 262429, 183152, 183152
44, 1469489, 292498, 285216, 263316, 270635, 178912, 178912
45, 1473998, 298388, 285076, 263212, 276032, 175645, 175645
46, 1469639, 294357, 287584, 265314, 272140, 175122, 175122
47, 1465425, 288756, 286057, 263956, 266644, 180006, 180006
48, 1468085, 288101, 288479, 266539, 266126, 179420, 179420
49, 1474212, 287482, 295350, 273300, 265828, 176126, 176126
50, 1473533, 293711, 292459, 270159, 271678, 172763, 172763
51, 1472421, 284145, 299127, 276611, 262516, 175011, 175011
52, 1475164, 290069, 292950, 270747, 267682, 176858, 176858
53, 1470191, 287452, 291964, 269946, 265441, 177694, 177694
54, 1473586, 296242, 291285, 269232, 273875, 171476, 171476
55, 1470005, 291262, 287902, 266000, 269181, 177830, 177830
56, 1469937, 284190, 296766, 274792, 262437, 175876, 175876
57, 1471202, 288494, 294705, 272445, 266720, 174419, 174419
58, 1470669, 293779, 288699, 266663, 271496, 175016, 175016
59, 1466406, 286419, 292705, 270182, 264258, 176421, 176421
60, 1467944, 289855, 290348, 267878, 267425, 176219, 176219
61, 1470974, 284835, 298704, 276657, 263198, 173790, 173790
62, 1468448, 298069, 284493, 262965, 275649, 173636, 173636
63, 1469735, 284752, 295767, 273477, 262815, 176462, 176462
64, 1471628, 292452, 287374, 265147, 270425, 178115, 178115
65, 1472572, 296370, 289933, 268235, 273876, 172079, 172079
66, 1470454, 295447, 287292, 265110, 273571, 174517, 174517
67, 1472573, 291551, 292415, 270052, 269213, 174671, 174671
68, 1469383, 289401, 291745, 269532, 267197, 175754, 175754
69, 1474757, 286842, 294439, 272139, 265149, 178094, 178094
70, 1474618, 290089, 291891, 269752, 268168, 177359, 177359
71, 1472409, 291628, 289866, 267904, 269219, 176896, 176896
72, 1466506, 287864, 294245, 271785, 265992, 173310, 173310
73, 1470051, 290535, 294025, 271723, 268490, 172639, 172639
74, 1470900, 287743, 291264, 269118, 265757, 178509, 178509
75, 1470887, 286382, 295523, 273193, 264531, 175629, 175629
76, 1468530, 286924, 297829, 275488, 264977, 171656, 171656
77, 1471321, 295119, 288311, 266318, 272873, 174350, 174350
78, 1473004, 290934, 289372, 267200, 268540, 178479, 178479
79, 1470886, 295657, 289720, 267611, 273246, 172326, 172326
80, 1466070, 289217, 290883, 268666, 267078, 175113, 175113
81, 1469282, 287931, 292317, 270116, 266174, 176372, 176372
82, 1474568, 287371, 292682, 271033, 265486, 178998, 178998
83, 1471660, 291703, 287909, 266053, 269617, 178189, 178189
84, 1473146, 293505, 284757, 262666, 271334, 180442, 180442
85, 1469336, 293206, 288888, 266834, 270996, 174706, 174706
86, 1468890, 289009, 288893, 267047, 267501, 178220, 178220
87, 1472747, 289596, 293373, 271513, 267297, 175484, 175484
88, 1471166, 286563, 293562, 271385, 264682, 177487, 177487
89, 1474306, 287535, 298896, 276303, 265690, 172941, 172941
90, 1471189, 286300, 295933, 273688, 264502, 175383, 175383
91, 1472613, 290197, 293717, 271498, 267879, 174661, 174661
92, 1474602, 289297, 292514, 270607, 266980, 177602, 177602
93, 1471081, 295077, 289365, 267153, 272722, 173382, 173382
94, 1465240, 296824, 280785, 258654, 274455, 177261, 177261
95, 1471656, 288398, 291693, 269594, 266063, 177954, 177954
96, 1474085, 289537, 295146, 273022, 267602, 174389, 174389
97, 1470743, 293421, 290273, 268244, 271231, 173787, 173787
98, 1476808, 293726, 294031, 271850, 271433, 172884, 172884
99, 1469974, 296767, 285995, 264156, 274678, 174189, 174189
100, 1471637, 291781, 294243, 271958, 269823, 171916, 171916
101, 1470503, 285157, 296584, 273878, 263212, 175836, 175836
102, 1475093, 291688, 291185, 269249, 269773, 176599, 176599
103, 1472277, 288056, 288687, 266558, 266374, 181301, 181301
104, 1471630, 292284, 287130, 264874, 270200, 178571, 178571
105, 1470411, 286145, 294838, 272588, 264032, 176404, 176404
106, 1474296, 288834, 297304, 274975, 267109, 173037, 173037
107, 1474231, 286232, 297510, 275043, 264120, 175663, 175663
