L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
2400,0.119,0.50154401,0.25154639,0.06327559,0.10151776,-0.08985512,0.01492192,0.00053195,-1.81411618,3.29102075,10.83086039,0.01693938,0.00028766,0.00000008
2400,0.12,0.50162646,0.25162911,0.06331721,0.10195793,-0.09290684,0.01472148,0.00049655,-1.81071696,3.27869903,10.74990811,0.01751028,0.00030729,0.00000010
2400,0.121,0.50171202,0.25171496,0.06336042,0.10236000,-0.09562020,0.01451881,0.00045843,-1.80731084,3.26637541,10.66924652,0.01807865,0.00032748,0.00000011
2400,0.122,0.50180056,0.25180380,0.06340515,0.10314494,-0.09855021,0.01438960,0.00042662,-1.80389493,3.25403967,10.58880977,0.01864561,0.00034825,0.00000012
2400,0.123,0.50189230,0.25189588,0.06345154,0.10468592,-0.10154685,0.01446966,0.00041012,-1.80046950,3.24169302,10.50860737,0.01921125,0.00036963,0.00000014
2400,0.124,0.50198720,0.25199115,0.06349954,0.10644472,-0.10430863,0.01454860,0.00039286,-1.79703062,3.22932154,10.42854975,0.01977779,0.00039169,0.00000015
2400,0.125,0.50208522,0.25208957,0.06354915,0.10836786,-0.10703148,0.01473510,0.00038650,-1.79358105,3.21693537,10.34870382,0.02034421,0.00041438,0.00000017
2400,0.126,0.50218638,0.25219116,0.06360038,0.11033289,-0.10948617,0.01494507,0.00037989,-1.79011915,3.20452889,10.26903508,0.02091030,0.00043772,0.00000019
2400,0.127,0.50229059,0.25229583,0.06365319,0.11279997,-0.11230888,0.01525680,0.00037923,-1.78665600,3.19214186,10.18979766,0.02147166,0.00046148,0.00000021
2400,0.128,0.50239808,0.25240383,0.06370770,0.11557327,-0.11531809,0.01570919,0.00038709,-1.78319489,3.17978615,10.11106710,0.02202566,0.00048556,0.00000024
2400,0.129,0.50250885,0.25251515,0.06376390,0.11785449,-0.11771585,0.01604034,0.00038717,-1.77972228,3.16741347,10.03253419,0.02258007,0.00051027,0.00000026
2400,0.13,0.50262268,0.25262956,0.06382170,0.12075279,-0.12068705,0.01655299,0.00039690,-1.77625233,3.15507434,9.95451946,0.02312749,0.00053528,0.00000029
2800,0.08,0.50017730,0.25017733,0.06258870,0.99429557,0.00271733,0.98864714,0.97751594,-1.92096503,3.69012533,13.61730056,0.00230015,0.00000994,0.00000000
2800,0.081,0.50018661,0.25018664,0.06259336,0.99394730,-0.00095106,0.98795755,0.97616411,-1.91903307,3.68270846,13.56264423,0.00241073,0.00001092,0.00000000
2800,0.082,0.50019630,0.25019634,0.06259821,0.99358308,-0.00682489,0.98723719,0.97475504,-1.91708744,3.67524683,13.50777090,0.00251997,0.00001196,0.00000000
2800,0.083,0.50020645,0.25020650,0.06260329,0.99306453,-0.00865180,0.98630823,0.97303966,-1.91509842,3.66762670,13.45184866,0.00264322,0.00001314,0.00000000
2800,0.084,0.50021709,0.25021714,0.06260862,0.99261112,-0.01492849,0.98541786,0.97131666,-1.91310898,3.66001304,13.39609185,0.00275916,0.00001435,0.00000000
2800,0.085,0.50022824,0.25022830,0.06261420,0.99150427,-0.01772528,0.98354208,0.96819306,-1.91107314,3.65223011,13.33921684,0.00289047,0.00001572,0.00000000
2800,0.086,0.50023985,0.25023991,0.06262001,0.98932517,-0.01546634,0.97994495,0.96258631,-1.90897889,3.64423265,13.28090146,0.00304337,0.00001730,0.00000000
2800,0.087,0.50025206,0.25025212,0.06262613,0.98610492,-0.02821429,0.97482307,0.95488375,-1.90694023,3.63645606,13.22432222,0.00316041,0.00001873,0.00000000
2800,0.088,0.50026489,0.25026496,0.06263255,0.97854843,-0.01677474,0.96353759,0.93906874,-1.90471365,3.62797192,13.16272933,0.00336367,0.00002076,0.00000000
2800,0.089,0.50027843,0.25027851,0.06263933,0.96547581,-0.02711422,0.94416651,0.91252465,-1.90256919,3.61981004,13.10361116,0.00351831,0.00002248,0.00000000
2800,0.09,0.50029276,0.25029285,0.06264651,0.94326682,-0.02911245,0.91142939,0.86868685,-1.90030829,3.61121430,13.04148545,0.00372392,0.00002452,0.00000000
2800,0.091,0.50030801,0.25030810,0.06265415,0.90825596,-0.02090965,0.86102662,0.80242335,-1.89789627,3.60205428,12.97542949,0.00399794,0.00002697,0.00000000
2800,0.092,0.50032447,0.25032458,0.06266240,0.86173041,-0.02249984,0.79583250,0.71952001,-1.89547585,3.59287316,12.90937659,0.00426837,0.00002931,0.00000000
2800,0.093,0.50034213,0.25034225,0.06267124,0.79905035,-0.02356086,0.70951418,0.61221773,-1.89295336,3.58331568,12.84077152,0.00458245,0.00003179,0.00000000
2800,0.094,0.50036142,0.25036155,0.06268091,0.72503931,-0.02603391,0.61028516,0.49418852,-1.89036550,3.57352230,12.77064221,0.00492212,0.00003435,0.00000000
2800,0.095,0.50038229,0.25038244,0.06269136,0.64713536,-0.03524404,0.51020297,0.38218322,-1.88778588,3.56377258,12.70100340,0.00525050,0.00003680,0.00000000
2800,0.096,0.50040496,0.25040512,0.06270272,0.57043072,-0.03131270,0.41613031,0.28223668,-1.88505117,3.55345066,12.62747728,0.00564898,0.00004006,0.00000000
2800,0.097,0.50042944,0.25042962,0.06271500,0.49616586,-0.03297077,0.32933349,0.19660020,-1.88232702,3.54318310,12.55454494,0.00603481,0.00004341,0.00000000
2800,0.098,0.50045582,0.25045602,0.06272822,0.43221035,-0.03570069,0.25822262,0.13287331,-1.87959313,3.53289409,12.48167672,0.00641828,0.00004710,0.00000000
2800,0.099,0.50048403,0.25048427,0.06274237,0.37463728,-0.03380980,0.20144756,0.08887572,-1.87678256,3.52233293,12.40711340,0.00683315,0.00005169,0.00000000
2800,0.1,0.50051401,0.25051428,0.06275740,0.32742733,-0.03502727,0.15768627,0.05862363,-1.87397280,3.51179112,12.33291650,0.00724091,0.00005665,0.00000000
2800,0.101,0.50054606,0.25054636,0.06277348,0.29064832,-0.03705374,0.12585821,0.03921850,-1.87113607,3.50116495,12.25836276,0.00765448,0.00006224,0.00000000
2800,0.102,0.50058011,0.25058045,0.06279056,0.25712707,-0.04000303,0.10003671,0.02587648,-1.86825685,3.49039630,12.18304306,0.00808282,0.00006845,0.00000001
2800,0.103,0.50061629,0.25061667,0.06280871,0.23052136,-0.04064866,0.08064528,0.01719256,-1.86532158,3.47943558,12.10662467,0.00853216,0.00007550,0.00000001
2800,0.104,0.50065486,0.25065529,0.06282808,0.20662197,-0.04413701,0.06525061,0.01151142,-1.86236453,3.46841114,12.03000780,0.00898513,0.00008307,0.00000001
2800,0.105,0.50069564,0.25069612,0.06284854,0.18652870,-0.04820875,0.05338108,0.00788086,-1.85937431,3.45728120,11.95290891,0.00944836,0.00009131,0.00000001
2800,0.106,0.50073870,0.25073924,0.06287017,0.16871163,-0.05200719,0.04413951,0.00553014,-1.85634446,3.44602209,11.87516948,0.00992433,0.00010028,0.00000001
2800,0.107,0.50078417,0.25078478,0.06289301,0.15384525,-0.05450304,0.03702555,0.00392718,-1.85326111,3.43458332,11.79645301,0.01042065,0.00011018,0.00000001
2800,0.108,0.50083220,0.25083289,0.06291714,0.14163368,-0.05787375,0.03137951,0.00284676,-1.85015943,3.42309580,11.71766534,0.01091951,0.00012065,0.00000002
2800,0.109,0.50088290,0.25088368,0.06294262,0.13191110,-0.06118758,0.02697110,0.00206289,-1.84701152,3.41145681,11.63810919,0.01143449,0.00013200,0.00000002
2800,0.11,0.50093618,0.25093706,0.06296941,0.12254611,-0.06434816,0.02327278,0.00154467,-1.84383999,3.39975063,11.55836865,0.01195578,0.00014407,0.00000002
2800,0.111,0.50099213,0.25099311,0.06299754,0.11654729,-0.06744867,0.02085921,0.00120791,-1.84064076,3.38796273,11.47835026,0.01248362,0.00015687,0.00000003
2800,0.112,0.50105086,0.25105196,0.06302709,0.11041166,-0.07027406,0.01870414,0.00097670,-1.83740344,3.37605536,11.39780328,0.01302419,0.00017056,0.00000003
2800,0.113,0.50111252,0.25111376,0.06305812,0.10564840,-0.07271167,0.01706687,0.00080811,-1.83413789,3.36406549,11.31698620,0.01357234,0.00018506,0.00000003
2800,0.114,0.50117692,0.25117831,0.06309054,0.10228024,-0.07589998,0.01580223,0.00067422,-1.83085380,3.35202900,11.23614372,0.01412392,0.00020026,0.00000004
2800,0.115,0.50124430,0.25124585,0.06312448,0.09956810,-0.07864314,0.01484711,0.00057691,-1.82754561,3.33992606,11.15514754,0.01468069,0.00021623,0.00000005
2800,0.116,0.50131450,0.25131623,0.06315985,0.09798889,-0.08095569,0.01416386,0.00050353,-1.82420607,3.32773071,11.07383068,0.01524707,0.00023314,0.00000005
2800,0.117,0.50138790,0.25138983,0.06319685,0.09673009,-0.08398535,0.01369731,0.00045668,-1.82086262,3.31554343,10.99286497,0.01580856,0.00025053,0.00000006
2800,0.118,0.50146426,0.25146640,0.06323535,0.09661826,-0.08718176,0.01341234,0.00042153,-1.81750331,3.30332087,10.91196313,0.01637143,0.00026861,0.00000007
2800,0.119,0.50154364,0.25154602,0.06327540,0.09679364,-0.08989944,0.01313054,0.00038104,-1.81413009,3.29107044,10.83117667,0.01693572,0.00028736,0.00000008
